# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:15 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 8019 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 406  '           /                                                
# SPTYPE  = 'M6 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2003 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809322 / Minimum wavelength (um)                        
# MAXWAVE =              5.45676 / Maximum wavelength (um)                        
# V       =        13.5290000000 / V magnitude                                    
# VERR    =      0.0250000000000 / V magnitude error                              
# (B-V)   =        2.01300000000 / B-V color                                      
# (B-V)ERR=      0.0180000000000 / B-V color error                                
# J       =        7.08500000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        6.48200000000 / 2MASS H magnitude                              
# HERR    =      0.0420000000000 / 2MASS H magnitude error                        
# KS      =        6.08400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0170000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0131725000000 / Relative error in the absolute flux calibration
# RV      =       0.337143720000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.95000000000 / Intrinsic Color                                
# E(B-V)  =      0.0630000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809322                3.00116e-12         1.36745e-14
             0.809524                2.96438e-12         1.36454e-14
             0.809727                2.95199e-12         1.36339e-14
             0.809929                2.97773e-12         1.37499e-14
             0.810132                2.95229e-12         1.36260e-14
             0.810335                2.93366e-12         1.37780e-14
             0.810537                2.92110e-12         1.37073e-14
             0.810740                3.01709e-12         1.39001e-14
             0.810942                3.11147e-12         1.40641e-14
             0.811145                3.15716e-12         1.41258e-14
             0.811347                3.14858e-12         1.41357e-14
             0.811550                3.15790e-12         1.41913e-14
             0.811752                3.07876e-12         1.40020e-14
             0.811955                3.07637e-12         1.41556e-14
             0.812056                3.12175e-12         1.27878e-14
             0.812289                3.23453e-12         1.23907e-14
             0.812522                3.25260e-12         1.18842e-14
             0.812755                3.28852e-12         1.15648e-14
             0.812988                3.34757e-12         1.16907e-14
             0.813221                3.32230e-12         1.20504e-14
             0.813454                3.34001e-12         1.25918e-14
             0.813687                3.37067e-12         1.29388e-14
             0.813920                3.42186e-12         1.23320e-14
             0.814154                3.42244e-12         1.22744e-14
             0.814387                3.35346e-12         1.16323e-14
             0.814620                3.28482e-12         1.16414e-14
             0.814853                3.30185e-12         1.21201e-14
             0.815086                3.32080e-12         1.27032e-14
             0.815319                3.34562e-12         1.25052e-14
             0.815552                3.37230e-12         1.20242e-14
             0.815785                3.36584e-12         1.16246e-14
             0.816018                3.29723e-12         1.16407e-14
             0.816251                3.24363e-12         1.17070e-14
             0.816484                3.36461e-12         1.24092e-14
             0.816717                3.43504e-12         1.28849e-14
             0.816950                3.45824e-12         1.23808e-14
             0.817183                3.47834e-12         1.19118e-14
             0.817416                3.39778e-12         1.15061e-14
             0.817649                3.36906e-12         1.15077e-14
             0.817882                3.21144e-12         1.17822e-14
             0.818115                2.88330e-12         1.18835e-14
             0.818348                2.28456e-12         1.06409e-14
             0.818581                2.06297e-12         9.93340e-15
             0.818814                2.48849e-12         1.02780e-14
             0.819047                2.83180e-12         1.07105e-14
             0.819279                2.64573e-12         1.06338e-14
             0.819512                2.04025e-12         1.00011e-14
             0.819745                1.80780e-12         9.89832e-15
             0.819978                2.20060e-12         1.04353e-14
             0.820211                2.62734e-12         1.07140e-14
             0.820444                2.92927e-12         1.07757e-14
             0.820677                2.92984e-12         1.07308e-14
             0.820910                2.84008e-12         1.11832e-14
             0.821143                2.93289e-12         1.12895e-14
             0.821376                3.01679e-12         1.16648e-14
             0.821608                3.01975e-12         1.12757e-14
             0.821841                3.04097e-12         1.10048e-14
             0.822074                3.10296e-12         1.10774e-14
             0.822307                3.17297e-12         1.10840e-14
             0.822540                3.24845e-12         1.18233e-14
             0.822773                3.28738e-12         1.20436e-14
             0.823005                3.41247e-12         1.23890e-14
             0.823238                3.44481e-12         1.18987e-14
             0.823471                3.37311e-12         1.14543e-14
             0.823704                3.32653e-12         1.18160e-14
             0.823937                3.37900e-12         1.13776e-14
             0.824170                3.43297e-12         1.16987e-14
             0.824402                3.45338e-12         1.21658e-14
             0.824635                3.44323e-12         1.17847e-14
             0.824868                3.47549e-12         1.15223e-14
             0.825101                3.40346e-12         1.12480e-14
             0.825333                3.27251e-12         1.09867e-14
             0.825566                3.19560e-12         1.11192e-14
             0.825799                3.19425e-12         1.14630e-14
             0.826032                3.28831e-12         1.17833e-14
             0.826265                3.39025e-12         1.14480e-14
             0.826497                3.44737e-12         1.12332e-14
             0.826730                3.42125e-12         1.10574e-14
             0.826963                3.34200e-12         1.09909e-14
             0.827195                3.22453e-12         1.11117e-14
             0.827428                3.19477e-12         1.14495e-14
             0.827661                3.25850e-12         1.14426e-14
             0.827894                3.27193e-12         1.17624e-14
             0.828126                3.20872e-12         1.08383e-14
             0.828359                3.15966e-12         1.07573e-14
             0.828592                3.11779e-12         1.07618e-14
             0.828824                3.07159e-12         1.09314e-14
             0.829057                2.94694e-12         1.11034e-14
             0.829290                2.91404e-12         1.13677e-14
             0.829522                2.98712e-12         1.04398e-14
             0.829755                2.97413e-12         1.03208e-14
             0.829988                2.92734e-12         1.02540e-14
             0.830220                2.82264e-12         1.03013e-14
             0.830453                2.77722e-12         1.05052e-14
             0.830686                2.78045e-12         1.06032e-14
             0.830918                2.87500e-12         1.04252e-14
             0.831151                2.91227e-12         1.02155e-14
             0.831383                2.89076e-12         1.01114e-14
             0.831616                2.95175e-12         1.02580e-14
             0.831849                3.06481e-12         1.06325e-14
             0.832081                3.10678e-12         1.10141e-14
             0.832314                3.15772e-12         1.09848e-14
             0.832546                3.15583e-12         1.06232e-14
             0.832779                2.96018e-12         1.01045e-14
             0.833012                2.90424e-12         1.06308e-14
             0.833244                3.10423e-12         1.04005e-14
             0.833477                3.05209e-12         1.05638e-14
             0.833709                2.89840e-12         1.05396e-14
             0.833942                2.95973e-12         1.04777e-14
             0.834174                3.05283e-12         1.03077e-14
             0.834407                3.01000e-12         1.00722e-14
             0.834640                2.90123e-12         1.00056e-14
             0.834872                2.86321e-12         1.00660e-14
             0.835105                2.97034e-12         1.04393e-14
             0.835337                2.97279e-12         1.04517e-14
             0.835570                2.98038e-12         1.02455e-14
             0.835802                3.04679e-12         1.01847e-14
             0.836035                3.06762e-12         1.00824e-14
             0.836267                3.07562e-12         1.01601e-14
             0.836500                2.97977e-12         1.01571e-14
             0.836732                3.00613e-12         1.04015e-14
             0.836965                3.17456e-12         1.05091e-14
             0.837197                3.19735e-12         1.05395e-14
             0.837430                3.04910e-12         1.00979e-14
             0.837662                2.86233e-12         9.72876e-15
             0.837894                2.86321e-12         9.92596e-15
             0.838127                2.92538e-12         1.02418e-14
             0.838359                2.87341e-12         1.01829e-14
             0.838592                2.83049e-12         9.92594e-15
             0.838824                2.70778e-12         9.63933e-15
             0.839057                2.65805e-12         9.44830e-15
             0.839289                2.82896e-12         9.62394e-15
             0.839522                2.90167e-12         9.86414e-15
             0.839754                2.89120e-12         9.99337e-15
             0.839986                2.95877e-12         1.01133e-14
             0.840219                3.04102e-12         1.00061e-14
             0.840451                3.06487e-12         9.91380e-15
             0.840684                3.09036e-12         9.85239e-15
             0.840916                3.12153e-12         1.00934e-14
             0.841148                3.10427e-12         1.04332e-14
             0.841381                3.02475e-12         1.03840e-14
             0.841613                3.12122e-12         1.02966e-14
             0.841845                3.18615e-12         1.00637e-14
             0.842078                2.99661e-12         9.65723e-15
             0.842310                2.90189e-12         9.52385e-15
             0.842543                2.94818e-12         9.62255e-15
             0.842775                2.87444e-12         9.67588e-15
             0.843007                2.88975e-12         9.82617e-15
             0.843240                2.90026e-12         9.71730e-15
             0.843472                2.49636e-12         8.98462e-15
             0.843704                2.12300e-12         8.37449e-15
             0.843937                2.33929e-12         8.68770e-15
             0.844169                2.53758e-12         9.06119e-15
             0.844401                2.28730e-12         8.79482e-15
             0.844633                2.04853e-12         8.48111e-15
             0.844866                2.11145e-12         8.46765e-15
             0.845098                2.16996e-12         8.42336e-15
             0.845330                1.96064e-12         8.09837e-15
             0.845563                1.76607e-12         7.77541e-15
             0.845795                1.79680e-12         7.91755e-15
             0.846027                1.88238e-12         8.81010e-15
             0.846259                1.94086e-12         8.17861e-15
             0.846492                1.91778e-12         8.01733e-15
             0.846724                1.82848e-12         7.80660e-15
             0.846956                1.82667e-12         7.76315e-15
             0.847188                1.83358e-12         7.79805e-15
             0.847421                1.86963e-12         7.91527e-15
             0.847653                1.89757e-12         8.01023e-15
             0.847885                1.97845e-12         8.20129e-15
             0.848117                1.99612e-12         8.14007e-15
             0.848350                1.97496e-12         7.91584e-15
             0.848582                2.02776e-12         7.89324e-15
             0.848814                2.09046e-12         8.06012e-15
             0.849046                2.12426e-12         8.24295e-15
             0.849278                2.20953e-12         8.41226e-15
             0.849511                2.17334e-12         8.26807e-15
             0.849743                2.05668e-12         8.01332e-15
             0.849975                2.01887e-12         7.85121e-15
             0.850207                2.09974e-12         8.00486e-15
             0.850439                2.13611e-12         8.11439e-15
             0.850671                1.98929e-12         8.01105e-15
             0.850904                1.88482e-12         7.78803e-15
             0.851136                2.00027e-12         7.92505e-15
             0.851368                2.04455e-12         7.91419e-15
             0.851600                1.97421e-12         7.77037e-15
             0.851832                1.88963e-12         7.57302e-15
