# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:34 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7673 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 69243'           /                                                
# SPTYPE  = 'M6e-M9e III'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jan 18'        / UT date of SXD observations                    
# LXDUT   = '2007 Jan 18'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805019 / Minimum wavelength (um)                        
# MAXWAVE =              5.06423 / Maximum wavelength (um)                        
# V       =        7.75200000000 / V magnitude                                    
# VERR    =        1.07900000000 / V magnitude error                              
# (B-V)   =        1.51600000000 / B-V color                                      
# (B-V)ERR=      0.0810000000000 / B-V color error                                
# J       =       0.770000000000 / 2MASS J magnitude                              
# JERR    =       0.198000000000 / 2MASS J magnitude error                        
# H       =      -0.327000000000 / 2MASS H magnitude                              
# HERR    =       0.156000000000 / 2MASS H magnitude error                        
# KS      =      -0.705000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.168000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0990003000000 / Relative error in the absolute flux calibration
# RV      =        18.3859290000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =      0.0160000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805019                1.33166e-10         1.78142e-12
             0.805221                1.36184e-10         1.80088e-12
             0.805423                1.37825e-10         1.79387e-12
             0.805626                1.41352e-10         1.79322e-12
             0.805828                1.41243e-10         1.79008e-12
             0.806030                1.44950e-10         1.79217e-12
             0.806233                1.47589e-10         1.81232e-12
             0.806435                1.47529e-10         1.80320e-12
             0.806637                1.59975e-10         1.81667e-12
             0.806840                1.52377e-10         1.82775e-12
             0.807042                1.52627e-10         1.86605e-12
             0.807244                1.56612e-10         1.83661e-12
             0.807447                1.57684e-10         1.81885e-12
             0.807649                1.66969e-10         1.83442e-12
             0.807851                1.68245e-10         1.83266e-12
             0.808054                1.73492e-10         1.82354e-12
             0.808256                1.70743e-10         1.84876e-12
             0.808458                1.83862e-10         1.88192e-12
             0.808653                1.87747e-10         1.65840e-12
             0.808886                1.86393e-10         1.68459e-12
             0.809120                1.87444e-10         1.75291e-12
             0.809353                1.93772e-10         1.87930e-12
             0.809587                1.96881e-10         1.87764e-12
             0.809820                2.11832e-10         1.75575e-12
             0.810054                2.08353e-10         1.70363e-12
             0.810287                2.13172e-10         1.68133e-12
             0.810521                2.17817e-10         1.73216e-12
             0.810755                2.23748e-10         1.80012e-12
             0.810988                2.29449e-10         1.92749e-12
             0.811222                2.28819e-10         1.84268e-12
             0.811455                2.35669e-10         1.71498e-12
             0.811689                2.34949e-10         1.68711e-12
             0.811922                2.45177e-10         1.71027e-12
             0.812155                2.50577e-10         1.75955e-12
             0.812389                2.58072e-10         1.86416e-12
             0.812622                2.61902e-10         1.85720e-12
             0.812856                2.79831e-10         1.75388e-12
             0.813089                2.74669e-10         1.70145e-12
             0.813323                2.79314e-10         1.68842e-12
             0.813556                2.88968e-10         1.73357e-12
             0.813790                2.95191e-10         1.82160e-12
             0.814023                3.02656e-10         1.90284e-12
             0.814256                3.06968e-10         1.80790e-12
             0.814490                3.17597e-10         1.71335e-12
             0.814723                3.22440e-10         1.68984e-12
             0.814956                3.19986e-10         1.72748e-12
             0.815190                3.23197e-10         1.79078e-12
             0.815423                3.27625e-10         1.87686e-12
             0.815656                3.35921e-10         1.85355e-12
             0.815890                3.39276e-10         1.75770e-12
             0.816123                3.33173e-10         1.77009e-12
             0.816356                3.47964e-10         1.77948e-12
             0.816590                3.53463e-10         1.77570e-12
             0.816823                3.65585e-10         1.83655e-12
             0.817056                3.65419e-10         1.90895e-12
             0.817290                3.74359e-10         1.81289e-12
             0.817523                3.79097e-10         1.73415e-12
             0.817756                3.91267e-10         1.72861e-12
             0.817989                3.91973e-10         1.75424e-12
             0.818223                3.88829e-10         1.81279e-12
             0.818456                3.78230e-10         1.87756e-12
             0.818689                3.95918e-10         1.85157e-12
             0.818922                4.14027e-10         1.78105e-12
             0.819156                4.22940e-10         1.72410e-12
             0.819389                4.21937e-10         1.70924e-12
             0.819622                3.97698e-10         1.73833e-12
             0.819855                3.61869e-10         1.84899e-12
             0.820088                3.06042e-10         1.83098e-12
             0.820322                2.93639e-10         1.74104e-12
             0.820555                2.84432e-10         1.67387e-12
             0.820788                2.54277e-10         1.62990e-12
             0.821021                2.34640e-10         1.62348e-12
             0.821254                2.35385e-10         1.67656e-12
             0.821487                2.59466e-10         1.77897e-12
             0.821720                2.60056e-10         1.75336e-12
             0.821954                2.61547e-10         1.68282e-12
             0.822187                2.77076e-10         1.63031e-12
             0.822420                2.81085e-10         1.61461e-12
             0.822653                2.78627e-10         1.69414e-12
             0.822886                2.89486e-10         1.73658e-12
             0.823119                3.10862e-10         1.81804e-12
             0.823352                3.19217e-10         1.72949e-12
             0.823585                3.16308e-10         1.64705e-12
             0.823818                3.11391e-10         1.60617e-12
             0.824051                3.12575e-10         1.65674e-12
             0.824284                3.18464e-10         1.65196e-12
             0.824517                3.19404e-10         1.71441e-12
             0.824750                3.24728e-10         1.70590e-12
             0.824983                3.23635e-10         1.63969e-12
             0.825216                2.98635e-10         1.57968e-12
             0.825449                2.68845e-10         1.56559e-12
             0.825682                2.71303e-10         1.59032e-12
             0.825915                2.94809e-10         1.64433e-12
             0.826148                2.83128e-10         1.69309e-12
             0.826381                2.92956e-10         1.63752e-12
             0.826614                3.00175e-10         1.58983e-12
             0.826847                2.98459e-10         1.55120e-12
             0.827080                2.92408e-10         1.54846e-12
             0.827313                2.78399e-10         1.58580e-12
             0.827546                2.78460e-10         1.63787e-12
             0.827779                2.72828e-10         1.65377e-12
             0.828012                2.81764e-10         1.59660e-12
             0.828245                2.78216e-10         1.55340e-12
             0.828478                2.72461e-10         1.53523e-12
             0.828711                2.73983e-10         1.54516e-12
             0.828943                2.70718e-10         1.58739e-12
             0.829176                2.59345e-10         1.63005e-12
             0.829409                2.52630e-10         1.61007e-12
             0.829642                2.65017e-10         1.55846e-12
             0.829875                2.55136e-10         1.57725e-12
             0.830108                2.49076e-10         1.54063e-12
             0.830341                2.33037e-10         1.53818e-12
             0.830573                2.27130e-10         1.57934e-12
             0.830806                2.35393e-10         1.59694e-12
             0.831039                2.46562e-10         1.55740e-12
             0.831272                2.54273e-10         1.51493e-12
             0.831505                2.42835e-10         1.50081e-12
             0.831737                2.54838e-10         1.49189e-12
             0.831970                2.64718e-10         1.52244e-12
             0.832203                2.71738e-10         1.57532e-12
             0.832436                2.74393e-10         1.55260e-12
             0.832668                2.78303e-10         1.51371e-12
             0.832901                2.77419e-10         1.49210e-12
             0.833134                2.75131e-10         1.48888e-12
             0.833367                2.84380e-10         1.48962e-12
             0.833600                2.60694e-10         1.49837e-12
             0.833832                2.45061e-10         1.52436e-12
             0.834065                2.52483e-10         1.49737e-12
             0.834298                2.61786e-10         1.48954e-12
             0.834530                2.59486e-10         1.48472e-12
             0.834763                2.50182e-10         1.47287e-12
             0.834996                2.61198e-10         1.46187e-12
             0.835228                2.64218e-10         1.49410e-12
             0.835461                2.65456e-10         1.47655e-12
             0.835694                2.73559e-10         1.46056e-12
             0.835926                2.82364e-10         1.43498e-12
             0.836159                2.85489e-10         1.46140e-12
             0.836392                2.85677e-10         1.44710e-12
             0.836624                2.87195e-10         1.45754e-12
             0.836857                2.97853e-10         1.47635e-12
             0.837090                2.97798e-10         1.45570e-12
             0.837322                2.91120e-10         1.42609e-12
             0.837555                2.72050e-10         1.41472e-12
             0.837787                2.73205e-10         1.39668e-12
             0.838020                2.79675e-10         1.42236e-12
             0.838253                2.84310e-10         1.42463e-12
             0.838485                2.76994e-10         1.44528e-12
             0.838718                2.69002e-10         1.40468e-12
             0.838950                2.39762e-10         1.37913e-12
             0.839183                2.49121e-10         1.36790e-12
             0.839415                2.59165e-10         1.37668e-12
             0.839648                2.63985e-10         1.38628e-12
             0.839880                2.57430e-10         1.39508e-12
             0.840113                2.66672e-10         1.37496e-12
             0.840346                2.75993e-10         1.37214e-12
             0.840578                2.83598e-10         1.34671e-12
             0.840811                2.79079e-10         1.34906e-12
             0.841043                2.89462e-10         1.35560e-12
             0.841276                2.92309e-10         1.37801e-12
             0.841508                3.01402e-10         1.39736e-12
             0.841740                3.10642e-10         1.38440e-12
             0.841973                2.95203e-10         1.33593e-12
             0.842205                2.73005e-10         1.32685e-12
             0.842438                2.67002e-10         1.31273e-12
             0.842670                2.95846e-10         1.33119e-12
             0.842903                2.78247e-10         1.32976e-12
             0.843135                2.74490e-10         1.33983e-12
