# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:37 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6947 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BRI B2339-0447'     /                                                
# SPTYPE  = 'M7-8 III'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2006 Nov 29'        / UT date of SXD observations                    
# LXDUT   = '2006 Nov 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806487 / Minimum wavelength (um)                        
# MAXWAVE =              4.18205 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        9.14300000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        8.17400000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        7.65300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0138695000000 / Relative error in the absolute flux calibration
# RV      =        97.1941110000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806487                5.08392e-13         5.24326e-15
             0.806689                5.12666e-13         5.36329e-15
             0.806892                5.16754e-13         5.28136e-15
             0.807094                4.99958e-13         5.30240e-15
             0.807297                5.05654e-13         5.23146e-15
             0.807499                5.18226e-13         5.28340e-15
             0.807702                5.22917e-13         5.31386e-15
             0.807904                5.31509e-13         5.42628e-15
             0.808107                5.48177e-13         5.34054e-15
             0.808309                5.59804e-13         5.44033e-15
             0.808511                5.70131e-13         5.44619e-15
             0.808714                5.62415e-13         5.43079e-15
             0.808916                5.79416e-13         5.46336e-15
             0.809119                5.76140e-13         5.53600e-15
             0.809321                5.67901e-13         5.43132e-15
             0.809524                5.63994e-13         5.63655e-15
             0.809726                5.78423e-13         5.48719e-15
             0.809929                5.93582e-13         5.64367e-15
             0.809932                5.94397e-13         4.90176e-15
             0.810166                5.96685e-13         4.94112e-15
             0.810399                6.13833e-13         5.22293e-15
             0.810632                6.18476e-13         5.52898e-15
             0.810865                6.17123e-13         5.30555e-15
             0.811098                6.18863e-13         5.06373e-15
             0.811331                6.27712e-13         4.89908e-15
             0.811564                6.31164e-13         4.93754e-15
             0.811797                6.12594e-13         5.00736e-15
             0.812030                6.18161e-13         5.30438e-15
             0.812263                6.44196e-13         5.55545e-15
             0.812496                6.64929e-13         5.24301e-15
             0.812728                6.68676e-13         5.03317e-15
             0.812961                6.92465e-13         4.93626e-15
             0.813194                6.80827e-13         5.08885e-15
             0.813427                6.71150e-13         5.21789e-15
             0.813660                6.85334e-13         5.56262e-15
             0.813893                7.02758e-13         5.47905e-15
             0.814126                7.03185e-13         5.23920e-15
             0.814359                6.98037e-13         5.08754e-15
             0.814592                7.01588e-13         4.95250e-15
             0.814825                7.03850e-13         5.12024e-15
             0.815058                7.07143e-13         5.38186e-15
             0.815291                7.04108e-13         5.71080e-15
             0.815524                7.13903e-13         5.43183e-15
             0.815756                7.18856e-13         5.16386e-15
             0.815989                7.23466e-13         5.06591e-15
             0.816222                6.86984e-13         5.08569e-15
             0.816455                6.70236e-13         5.34184e-15
             0.816688                7.17884e-13         5.53074e-15
             0.816921                7.33829e-13         5.63642e-15
             0.817154                7.27540e-13         5.34491e-15
             0.817387                7.25268e-13         5.07282e-15
             0.817619                7.31699e-13         5.07561e-15
             0.817852                7.28648e-13         5.18673e-15
             0.818085                7.30210e-13         5.41414e-15
             0.818318                7.13112e-13         5.54430e-15
             0.818551                6.82153e-13         5.26980e-15
             0.818783                6.82163e-13         5.10821e-15
             0.819016                7.11242e-13         5.03558e-15
             0.819249                7.52305e-13         5.14459e-15
             0.819482                7.26144e-13         5.10082e-15
