# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:23 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7527 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 108849'          /                                                
# SPTYPE  = 'M7- III:'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 May 08'        / UT date of SXD observations                    
# LXDUT   = '2003 May 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811509 / Minimum wavelength (um)                        
# MAXWAVE =              4.95107 / Maximum wavelength (um)                        
# V       =        7.46000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.54000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =       0.544000000000 / 2MASS J magnitude                              
# JERR    =       0.186000000000 / 2MASS J magnitude error                        
# H       =      -0.376000000000 / 2MASS H magnitude                              
# HERR    =       0.186000000000 / 2MASS H magnitude error                        
# KS      =      -0.730000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.214000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.112052000000 / Relative error in the absolute flux calibration
# RV      =        37.4255640000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =      0.0400000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811509                7.88054e-10         1.76282e-12
             0.811712                7.73481e-10         1.75304e-12
             0.811914                7.68490e-10         1.75882e-12
             0.812116                8.37026e-10         1.77645e-12
             0.812318                8.53433e-10         1.82141e-12
             0.812521                8.49648e-10         1.83155e-12
             0.812723                8.73177e-10         1.83478e-12
             0.812925                8.91389e-10         1.83058e-12
             0.813127                8.97119e-10         1.85308e-12
             0.813330                8.74015e-10         1.86568e-12
             0.813532                8.97878e-10         1.91161e-12
             0.813734                9.61324e-10         1.90672e-12
             0.813936                9.32159e-10         1.91032e-12
             0.814138                9.47034e-10         1.94913e-12
             0.814270                9.45720e-10         1.73886e-12
             0.814503                9.41175e-10         1.63926e-12
             0.814736                9.43051e-10         1.60849e-12
             0.814969                9.63171e-10         1.65041e-12
             0.815203                9.65046e-10         1.70313e-12
             0.815436                9.66194e-10         1.79692e-12
             0.815669                1.00521e-09         1.83242e-12
             0.815902                9.96290e-10         1.70949e-12
             0.816136                9.58804e-10         1.67263e-12
             0.816369                9.42798e-10         1.70823e-12
             0.816602                1.00801e-09         1.73562e-12
             0.816835                1.03191e-09         1.76679e-12
             0.817069                1.02084e-09         1.87479e-12
             0.817302                1.03552e-09         1.75331e-12
             0.817535                1.05611e-09         1.66372e-12
             0.817768                1.06874e-09         1.70330e-12
             0.818001                1.07570e-09         1.72766e-12
             0.818235                1.04606e-09         1.71878e-12
             0.818468                1.00144e-09         1.76011e-12
             0.818701                1.00413e-09         1.76727e-12
             0.818934                1.05216e-09         1.74388e-12
             0.819167                1.12416e-09         1.70003e-12
             0.819400                1.12462e-09         1.65934e-12
             0.819633                9.92997e-10         1.64774e-12
             0.819867                9.09046e-10         1.67022e-12
             0.820100                8.20965e-10         1.73848e-12
             0.820333                7.68762e-10         1.61247e-12
             0.820566                7.52825e-10         1.52019e-12
             0.820799                6.71230e-10         1.46043e-12
             0.821032                6.34776e-10         1.44505e-12
             0.821265                6.54873e-10         1.48981e-12
             0.821498                6.78295e-10         1.56079e-12
             0.821731                6.91350e-10         1.57525e-12
             0.821964                6.93781e-10         1.53543e-12
             0.822197                7.06029e-10         1.48419e-12
             0.822430                7.31648e-10         1.48795e-12
             0.822663                7.42948e-10         1.57662e-12
             0.822896                7.53061e-10         1.74410e-12
             0.823129                8.00275e-10         1.82141e-12
             0.823362                7.99108e-10         1.65517e-12
             0.823595                7.93537e-10         1.52542e-12
             0.823828                7.88532e-10         1.47384e-12
             0.824061                7.87718e-10         1.45951e-12
             0.824294                7.97729e-10         1.50973e-12
             0.824527                8.08284e-10         1.57451e-12
