# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:25 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7610 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 207076'          /                                                
# SPTYPE  = 'M7- III:'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Nov 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810909 / Minimum wavelength (um)                        
# MAXWAVE =              5.02789 / Maximum wavelength (um)                        
# V       =        6.68600000000 / V magnitude                                    
# VERR    =      0.0550000000000 / V magnitude error                              
# (B-V)   =        1.49100000000 / B-V color                                      
# (B-V)ERR=      0.0140000000000 / B-V color error                                
# J       =      -0.296000000000 / 2MASS J magnitude                              
# JERR    =       0.202000000000 / 2MASS J magnitude error                        
# H       =       -1.37300000000 / 2MASS H magnitude                              
# HERR    =       0.274000000000 / 2MASS H magnitude error                        
# KS      =       -1.70800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.376000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.149236000000 / Relative error in the absolute flux calibration
# RV      =       -8.96847040000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00899994000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810909                2.82883e-09         5.15176e-12
             0.811111                2.82877e-09         5.14463e-12
             0.811313                2.85688e-09         5.13400e-12
             0.811514                2.89237e-09         5.17991e-12
             0.811716                2.76842e-09         5.10081e-12
             0.811918                2.85563e-09         5.15152e-12
             0.812120                3.08142e-09         5.20285e-12
             0.812322                3.16909e-09         5.28195e-12
             0.812524                3.13701e-09         5.33779e-12
             0.812726                3.21469e-09         5.30534e-12
             0.812928                3.25851e-09         5.27596e-12
             0.813130                3.25144e-09         5.34384e-12
             0.813332                3.17643e-09         5.35677e-12
             0.813534                3.27166e-09         5.43459e-12
             0.813735                3.43922e-09         4.64429e-12
             0.813969                3.41156e-09         4.71212e-12
             0.814204                3.42509e-09         4.95715e-12
             0.814438                3.39648e-09         5.25241e-12
             0.814672                3.43553e-09         5.07705e-12
             0.814905                3.45780e-09         4.79011e-12
             0.815139                3.46365e-09         4.70911e-12
             0.815373                3.53906e-09         4.73356e-12
             0.815607                3.61222e-09         4.97210e-12
             0.815841                3.56125e-09         5.19144e-12
             0.816075                3.42360e-09         5.20027e-12
             0.816309                3.42874e-09         5.03060e-12
             0.816543                3.65148e-09         4.93409e-12
             0.816777                3.71899e-09         4.77703e-12
             0.817011                3.64520e-09         4.84310e-12
             0.817245                3.71019e-09         5.10004e-12
             0.817478                3.78913e-09         5.20398e-12
             0.817712                3.81802e-09         5.01190e-12
             0.817946                3.78039e-09         4.87695e-12
             0.818180                3.72302e-09         4.74061e-12
             0.818414                3.56061e-09         4.70541e-12
             0.818648                3.64608e-09         4.83289e-12
             0.818881                3.79657e-09         5.18095e-12
             0.819115                3.96604e-09         5.06207e-12
             0.819349                3.87887e-09         4.79594e-12
             0.819583                3.49127e-09         4.62206e-12
             0.819816                3.19331e-09         4.57174e-12
             0.820050                2.80794e-09         4.71898e-12
             0.820284                2.75157e-09         4.86825e-12
             0.820518                2.59650e-09         4.76669e-12
             0.820751                2.34091e-09         4.53751e-12
             0.820985                2.32836e-09         4.35100e-12
             0.821219                2.40947e-09         4.33324e-12
             0.821452                2.48856e-09         4.42716e-12
             0.821686                2.49761e-09         4.57628e-12
             0.821920                2.50735e-09         4.79479e-12
             0.822153                2.57362e-09         4.59478e-12
             0.822387                2.67825e-09         4.44227e-12
             0.822621                2.74478e-09         4.50402e-12
             0.822854                2.79320e-09         4.71718e-12
             0.823088                2.92628e-09         4.97248e-12
             0.823321                2.90381e-09         5.06124e-12
             0.823555                2.87828e-09         4.70036e-12
             0.823788                2.87938e-09         4.50192e-12
             0.824022                2.87394e-09         4.34690e-12
             0.824256                2.89948e-09         4.32771e-12
