# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7592 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'MY Cep  '           /                                                
# SPTYPE  = 'M7-M7.5 I'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2003 Aug 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807364 / Minimum wavelength (um)                        
# MAXWAVE =              4.98273 / Maximum wavelength (um)                        
# V       =        14.5200000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.86000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.58300000000 / 2MASS J magnitude                              
# JERR    =       0.280000000000 / 2MASS J magnitude error                        
# H       =        2.98000000000 / 2MASS H magnitude                              
# HERR    =       0.242000000000 / 2MASS H magnitude error                        
# KS      =        2.13800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.278000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.152909000000 / Relative error in the absolute flux calibration
# RV      =       -67.3790870000 / Measured radial velocity (km s-1)              
# (B-V)_0 = 'NAN     '           / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807364                6.49001e-12         1.09429e-13
             0.807566                6.62913e-12         1.09129e-13
             0.807768                6.95747e-12         1.10384e-13
             0.807971                7.01949e-12         1.10643e-13
             0.808173                7.15215e-12         1.10186e-13
             0.808376                7.13815e-12         1.09778e-13
             0.808578                7.08437e-12         1.09660e-13
             0.808781                7.37206e-12         1.09922e-13
             0.808983                7.21693e-12         1.12376e-13
             0.809185                7.11635e-12         1.11162e-13
             0.809388                6.91510e-12         1.11758e-13
             0.809590                6.90077e-12         1.11854e-13
             0.809793                7.15644e-12         1.11263e-13
             0.809995                7.29750e-12         1.11867e-13
             0.810197                7.49318e-12         1.11877e-13
             0.810400                7.44889e-12         1.12095e-13
             0.810602                7.54393e-12         1.13386e-13
             0.810640                7.50668e-12         1.02315e-13
             0.810873                7.52689e-12         1.06423e-13
             0.811107                7.64030e-12         1.14808e-13
             0.811340                7.79371e-12         1.08282e-13
             0.811573                7.49755e-12         1.02446e-13
             0.811806                7.22390e-12         9.90683e-14
             0.812039                7.47475e-12         9.91106e-14
             0.812272                7.88016e-12         1.03411e-13
             0.812505                8.01749e-12         1.09799e-13
             0.812739                8.10473e-12         1.12049e-13
             0.812972                8.27390e-12         1.05143e-13
             0.813205                8.21322e-12         1.01785e-13
             0.813438                8.21692e-12         1.00177e-13
             0.813671                8.36862e-12         1.03907e-13
             0.813904                8.61111e-12         1.08761e-13
             0.814137                8.66541e-12         1.13613e-13
             0.814370                8.50492e-12         1.11148e-13
             0.814603                8.39644e-12         1.05578e-13
             0.814837                8.54688e-12         1.02051e-13
             0.815070                8.67035e-12         1.02844e-13
             0.815303                8.62912e-12         1.09553e-13
             0.815536                8.71408e-12         1.12175e-13
             0.815769                8.96776e-12         1.16961e-13
             0.816002                8.81430e-12         1.09349e-13
             0.816235                8.38472e-12         1.04955e-13
             0.816468                8.39727e-12         1.05443e-13
             0.816701                8.76038e-12         1.08993e-13
             0.816934                8.99526e-12         1.10629e-13
             0.817167                8.91327e-12         1.14749e-13
             0.817400                8.84119e-12         1.14028e-13
             0.817633                9.04937e-12         1.04933e-13
             0.817866                9.40810e-12         1.02845e-13
             0.818099                9.28493e-12         1.06069e-13
             0.818332                8.47684e-12         1.06847e-13
             0.818565                8.21181e-12         1.08808e-13
             0.818798                8.53140e-12         1.12345e-13
             0.819031                9.14140e-12         1.07305e-13
             0.819264                9.41156e-12         1.04486e-13
             0.819497                8.57189e-12         1.01663e-13
             0.819729                8.21209e-12         1.01518e-13
             0.819962                8.10142e-12         1.03689e-13
             0.820195                7.75954e-12         1.08624e-13
             0.820428                7.56697e-12         1.08294e-13
             0.820661                7.15939e-12         1.01403e-13
             0.820894                7.12071e-12         9.66131e-14
             0.821127                7.50116e-12         9.76029e-14
             0.821360                7.46224e-12         9.71720e-14
             0.821593                7.55425e-12         1.01071e-13
             0.821826                7.61299e-12         1.05053e-13
             0.822058                7.77561e-12         1.02194e-13
             0.822291                7.75702e-12         9.92629e-14
             0.822524                8.17152e-12         9.76287e-14
             0.822757                8.36790e-12         9.92098e-14
             0.822990                8.31633e-12         1.07080e-13
             0.823223                8.17696e-12         1.15704e-13
             0.823456                8.35835e-12         1.14610e-13
             0.823688                8.46335e-12         1.04301e-13
             0.823921                8.44494e-12         9.74063e-14
