# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:28 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6743 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 644C '           /                                                
# SPTYPE  = 'M7 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Jul 12'        / UT date of SXD observations                    
# LXDUT   = '2001 Jul 12'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.808899 / Minimum wavelength (um)                        
# MAXWAVE =              4.14516 / Maximum wavelength (um)                        
# V       =        16.8000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.20000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        9.77600000000 / 2MASS J magnitude                              
# JERR    =      0.0290000000000 / 2MASS J magnitude error                        
# H       =        9.20100000000 / 2MASS H magnitude                              
# HERR    =      0.0240000000000 / 2MASS H magnitude error                        
# KS      =        8.81600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0144105000000 / Relative error in the absolute flux calibration
# RV      =        21.3119590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.10000000000 / Intrinsic Color                                
# E(B-V)  =       0.100000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808899                2.35479e-13         5.07830e-15
             0.809102                2.29703e-13         5.11165e-15
             0.809304                2.27496e-13         5.02552e-15
             0.809507                2.50344e-13         5.19811e-15
             0.809709                2.32815e-13         5.05325e-15
             0.809912                2.29151e-13         5.27257e-15
             0.810114                2.33377e-13         5.08654e-15
             0.810317                2.20563e-13         5.14741e-15
             0.810519                2.33996e-13         5.06735e-15
             0.810722                2.35057e-13         5.14418e-15
             0.810925                2.44807e-13         5.05264e-15
             0.811127                2.47229e-13         5.34834e-15
             0.811330                2.49698e-13         5.19210e-15
             0.811532                2.56916e-13         5.52656e-15
             0.811735                2.53792e-13         5.23198e-15
             0.811788                2.47283e-13         4.67928e-15
             0.812021                2.42484e-13         4.93756e-15
             0.812254                2.52467e-13         5.01754e-15
             0.812487                2.63898e-13         4.68860e-15
             0.812720                2.60267e-13         4.56993e-15
             0.812953                2.61241e-13         4.39341e-15
             0.813186                2.63742e-13         4.69139e-15
             0.813419                2.63552e-13         4.86232e-15
             0.813652                2.59594e-13         5.26529e-15
             0.813885                2.72078e-13         4.94750e-15
             0.814118                2.72357e-13         4.70681e-15
             0.814351                2.73560e-13         4.68212e-15
             0.814584                2.57344e-13         4.50806e-15
             0.814817                2.60053e-13         4.73369e-15
             0.815050                2.54838e-13         5.04185e-15
             0.815282                2.56109e-13         5.15389e-15
             0.815515                2.54564e-13         5.02291e-15
             0.815748                2.66402e-13         4.69565e-15
             0.815981                2.62745e-13         4.59730e-15
             0.816214                2.65299e-13         4.65752e-15
             0.816447                2.56856e-13         5.20249e-15
             0.816680                2.63076e-13         5.25948e-15
             0.816913                2.71438e-13         5.10780e-15
             0.817145                2.69902e-13         5.03379e-15
             0.817378                2.60484e-13         4.55303e-15
             0.817611                2.59654e-13         4.43985e-15
             0.817844                2.55105e-13         4.79022e-15
             0.818077                2.34809e-13         5.06372e-15
             0.818309                1.89584e-13         5.02379e-15
             0.818542                1.49551e-13         4.55671e-15
             0.818775                1.61566e-13         4.46946e-15
             0.819008                1.96295e-13         4.41531e-15
             0.819241                2.17784e-13         4.49540e-15
             0.819474                1.72625e-13         4.38670e-15
             0.819706                1.24825e-13         4.52743e-15
             0.819939                1.33415e-13         4.75761e-15
             0.820172                1.85256e-13         4.57755e-15
             0.820405                2.09966e-13         4.28381e-15
             0.820637                2.32615e-13         4.14962e-15
             0.820870                2.21070e-13         4.16549e-15
             0.821103                2.23528e-13         4.26821e-15
             0.821336                2.28665e-13         4.57902e-15
             0.821568                2.33457e-13         4.57120e-15
             0.821801                2.35829e-13         4.32882e-15
             0.822034                2.35707e-13         4.42046e-15
             0.822266                2.39847e-13         4.41479e-15
             0.822499                2.48753e-13         4.64026e-15
             0.822732                2.60969e-13         4.81223e-15
             0.822965                2.56842e-13         5.55035e-15
             0.823197                2.65072e-13         5.30541e-15
             0.823430                2.63416e-13         4.74356e-15
             0.823663                2.57961e-13         4.50118e-15
             0.823895                2.55828e-13         4.23207e-15
             0.824128                2.71985e-13         4.29357e-15
             0.824361                2.70864e-13         4.50461e-15
             0.824593                2.74367e-13         4.57355e-15
             0.824826                2.71826e-13         4.44369e-15
             0.825059                2.68008e-13         4.09856e-15
             0.825291                2.70116e-13         4.12415e-15
             0.825524                2.49439e-13         4.10088e-15
             0.825757                2.53827e-13         4.40363e-15
             0.825989                2.53633e-13         4.46925e-15
             0.826222                2.64464e-13         4.49654e-15
             0.826454                2.68615e-13         4.29627e-15
             0.826687                2.61488e-13         4.14841e-15
             0.826920                2.62658e-13         4.05923e-15
             0.827152                2.60625e-13         4.13349e-15
             0.827385                2.46329e-13         4.33691e-15
