# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:49 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4163 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 14303-1042'    /                                                
# SPTYPE  = 'M8-9 III'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2006 Jun 24'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.808641 / Minimum wavelength (um)                        
# MAXWAVE =              2.42317 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.50200000000 / 2MASS J magnitude                              
# JERR    =      0.0190000000000 / 2MASS J magnitude error                        
# H       =        5.64300000000 / 2MASS H magnitude                              
# HERR    =      0.0400000000000 / 2MASS H magnitude error                        
# KS      =        4.95900000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0132889000000 / Relative error in the absolute flux calibration
# RV      =        63.9941540000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808641                1.98271e-12         2.54640e-14
             0.808843                1.98073e-12         2.53690e-14
             0.809045                2.02189e-12         2.55249e-14
             0.809248                2.04756e-12         2.55116e-14
             0.809450                2.01341e-12         2.56853e-14
             0.809653                2.07117e-12         2.59569e-14
             0.809855                2.18070e-12         2.63828e-14
             0.810057                2.30155e-12         2.69407e-14
             0.810260                2.35090e-12         2.72578e-14
             0.810462                2.42910e-12         2.72702e-14
             0.810664                2.49302e-12         2.75713e-14
             0.810867                2.48842e-12         2.76920e-14
             0.811069                2.57747e-12         2.85075e-14
             0.811272                2.58559e-12         2.81859e-14
             0.811474                2.54499e-12         2.86135e-14
             0.811676                2.65259e-12         2.86405e-14
             0.811879                2.71329e-12         2.89093e-14
             0.811935                2.77069e-12         2.55899e-14
             0.812168                2.87659e-12         2.73908e-14
             0.812401                2.97337e-12         2.75939e-14
             0.812634                3.05068e-12         2.65086e-14
             0.812867                3.19600e-12         2.59690e-14
             0.813100                3.30267e-12         2.66884e-14
             0.813333                3.34722e-12         2.71348e-14
             0.813566                3.36870e-12         2.85068e-14
             0.813799                3.56244e-12         3.04208e-14
             0.814032                3.71690e-12         2.98504e-14
             0.814265                3.85252e-12         2.88871e-14
             0.814498                3.87253e-12         2.79373e-14
             0.814731                3.92569e-12         2.84658e-14
             0.814964                4.04337e-12         2.99502e-14
             0.815197                4.07742e-12         3.13763e-14
             0.815430                4.07882e-12         3.23200e-14
             0.815663                4.15200e-12         3.05634e-14
             0.815896                4.26990e-12         2.97398e-14
             0.816129                4.26668e-12         2.97573e-14
             0.816362                4.15830e-12         3.08060e-14
             0.816595                4.41910e-12         3.24215e-14
             0.816828                4.69029e-12         3.44421e-14
             0.817061                4.75078e-12         3.38391e-14
             0.817293                4.78831e-12         3.20723e-14
             0.817526                4.90739e-12         3.12959e-14
             0.817759                5.00886e-12         3.26159e-14
             0.817992                5.10101e-12         3.39539e-14
             0.818225                5.09298e-12         3.44295e-14
             0.818458                5.03184e-12         3.53156e-14
             0.818691                5.00617e-12         3.33687e-14
             0.818924                5.28417e-12         3.34120e-14
             0.819157                5.43859e-12         3.31609e-14
             0.819389                5.75715e-12         3.42101e-14
             0.819622                5.50647e-12         3.46074e-14
             0.819855                4.93548e-12         3.44151e-14
             0.820088                4.10997e-12         3.05913e-14
             0.820321                3.41185e-12         2.68977e-14
             0.820554                3.48838e-12         2.61042e-14
             0.820786                3.18167e-12         2.49101e-14
             0.821019                2.65706e-12         2.37781e-14
             0.821252                2.56944e-12         2.42921e-14
             0.821485                2.88806e-12         2.63093e-14
             0.821718                2.96818e-12         2.58003e-14
             0.821950                2.96372e-12         2.49062e-14
             0.822183                3.05646e-12         2.46275e-14
             0.822416                3.15938e-12         2.52309e-14
             0.822649                3.18349e-12         2.67377e-14
             0.822881                3.22589e-12         2.94531e-14
             0.823114                3.46453e-12         3.04812e-14
             0.823347                3.77739e-12         2.90365e-14
             0.823580                3.85348e-12         2.73874e-14
             0.823812                3.81207e-12         2.65293e-14
             0.824045                3.69833e-12         2.64455e-14
             0.824278                3.71695e-12         2.75756e-14
             0.824511                3.83844e-12         2.86715e-14
             0.824743                4.03962e-12         2.86871e-14
             0.824976                4.15056e-12         2.77950e-14
             0.825209                3.92658e-12         2.65856e-14
             0.825441                3.29737e-12         2.48753e-14
             0.825674                3.04221e-12         2.46717e-14
             0.825907                3.29766e-12         2.61261e-14
             0.826139                3.42669e-12         2.72952e-14
             0.826372                3.42472e-12         2.60590e-14
             0.826605                3.57083e-12         2.58202e-14
             0.826837                3.67947e-12         2.66712e-14
             0.827070                3.63137e-12         2.54153e-14
             0.827303                3.27275e-12         2.54085e-14
             0.827535                3.02919e-12         2.58323e-14
             0.827768                3.15698e-12         2.61193e-14
             0.828001                3.20939e-12         2.54354e-14
             0.828233                3.04513e-12         2.40872e-14
             0.828466                2.98609e-12         2.37157e-14
             0.828698                3.05422e-12         2.41962e-14
             0.828931                3.03922e-12         2.51200e-14
             0.829164                2.93255e-12         2.51576e-14
             0.829396                2.71831e-12         2.41629e-14
             0.829629                2.82804e-12         2.35843e-14
             0.829861                2.92911e-12         2.33142e-14
             0.830094                2.82629e-12         2.29675e-14
             0.830326                2.67333e-12         2.30776e-14
             0.830559                2.42223e-12         2.30068e-14
             0.830792                2.42564e-12         2.31318e-14
             0.831024                2.60291e-12         2.27011e-14
             0.831257                2.74960e-12         2.26684e-14
             0.831489                2.70257e-12         2.21738e-14
             0.831722                2.73764e-12         2.25689e-14
             0.831954                2.92357e-12         2.36902e-14
             0.832187                3.04598e-12         2.49656e-14
             0.832419                3.10603e-12         2.45605e-14
             0.832652                3.19674e-12         2.40504e-14
             0.832884                3.23917e-12         2.36585e-14
             0.833117                3.16447e-12         2.34710e-14
             0.833349                3.24055e-12         2.39443e-14
             0.833582                3.12508e-12         2.41730e-14
             0.833814                2.73081e-12         2.32263e-14
