# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:47 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4153 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 14436-0703'    /                                                
# SPTYPE  = 'M8-9 III'           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2006 Jun 24'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.810986 / Minimum wavelength (um)                        
# MAXWAVE =              2.42407 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.65400000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        4.98000000000 / 2MASS H magnitude                              
# HERR    =      0.0160000000000 / 2MASS H magnitude error                        
# KS      =        4.49700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.316000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AED     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0127166000000 / Relative error in the absolute flux calibration
# RV      =        2.21393220000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810986                3.56833e-12         4.69197e-14
             0.811188                3.59376e-12         4.75569e-14
             0.811390                3.53126e-12         4.73458e-14
             0.811592                3.72079e-12         4.84863e-14
             0.811795                3.73142e-12         4.79947e-14
             0.811997                3.82197e-12         4.78291e-14
             0.812199                4.09005e-12         4.91936e-14
             0.812402                4.18180e-12         4.92638e-14
             0.812604                4.25323e-12         5.00445e-14
             0.812806                4.46862e-12         5.06003e-14
             0.813008                4.64084e-12         5.11526e-14
             0.813211                4.71839e-12         5.15495e-14
             0.813413                4.56630e-12         5.26224e-14
             0.813615                4.75478e-12         5.37348e-14
             0.813817                4.91734e-12         5.37852e-14
             0.814020                5.11739e-12         5.34299e-14
             0.814222                5.23117e-12         5.46259e-14
             0.814359                5.16886e-12         4.78643e-14
             0.814592                5.29052e-12         4.57029e-14
             0.814826                5.34823e-12         4.59271e-14
             0.815059                5.53428e-12         4.78189e-14
             0.815292                5.52158e-12         4.84579e-14
             0.815525                5.65074e-12         5.19256e-14
             0.815758                5.73030e-12         5.12820e-14
             0.815992                5.79251e-12         4.78868e-14
             0.816225                5.72160e-12         4.77311e-14
             0.816458                5.87142e-12         4.99692e-14
             0.816691                6.30248e-12         5.22191e-14
             0.816924                6.37011e-12         5.18601e-14
             0.817158                6.38183e-12         5.56217e-14
             0.817391                6.51606e-12         5.23740e-14
             0.817624                6.71478e-12         4.93001e-14
             0.817857                6.86057e-12         5.07648e-14
             0.818090                6.94151e-12         5.33717e-14
             0.818323                6.75289e-12         5.20118e-14
             0.818556                6.64208e-12         5.27741e-14
             0.818789                6.88810e-12         5.31104e-14
             0.819023                7.22665e-12         5.26428e-14
             0.819256                7.66218e-12         5.20427e-14
             0.819489                7.63614e-12         5.14569e-14
             0.819722                6.80252e-12         4.97334e-14
             0.819955                5.83927e-12         5.01540e-14
             0.820188                4.56904e-12         4.83171e-14
             0.820421                4.43113e-12         4.42078e-14
             0.820654                4.35687e-12         4.27397e-14
             0.820887                3.44015e-12         3.83278e-14
             0.821120                3.18993e-12         3.79723e-14
             0.821353                3.47028e-12         4.03949e-14
             0.821586                3.76253e-12         4.25714e-14
             0.821819                3.70597e-12         4.22265e-14
             0.822052                3.71425e-12         4.11044e-14
             0.822285                3.85764e-12         4.04573e-14
             0.822518                4.06196e-12         4.12493e-14
             0.822751                4.15004e-12         4.31751e-14
             0.822984                4.49412e-12         5.16498e-14
             0.823217                4.93305e-12         5.29973e-14
             0.823450                4.91599e-12         4.75749e-14
             0.823683                4.73094e-12         4.28323e-14
             0.823916                4.54538e-12         4.07125e-14
             0.824149                4.60004e-12         4.04101e-14
             0.824382                4.80086e-12         4.28873e-14
             0.824615                4.97062e-12         4.49395e-14
             0.824848                5.11470e-12         4.44443e-14
             0.825081                4.96878e-12         4.18854e-14
             0.825314                4.20232e-12         3.88330e-14
             0.825546                3.71504e-12         3.79363e-14
             0.825779                3.94232e-12         3.97300e-14
             0.826012                4.22957e-12         4.15994e-14
             0.826245                4.11245e-12         4.20143e-14
             0.826478                4.15932e-12         4.07628e-14
             0.826711                4.31092e-12         3.96147e-14
             0.826944                4.35275e-12         3.90383e-14
             0.827176                4.14892e-12         3.81303e-14
             0.827409                3.77929e-12         3.88330e-14
             0.827642                3.86478e-12         4.18435e-14
             0.827875                3.97428e-12         4.24607e-14
             0.828108                3.88601e-12         4.05557e-14
             0.828341                3.78882e-12         3.94738e-14
             0.828573                3.81525e-12         3.82349e-14
             0.828806                3.81202e-12         3.83189e-14
             0.829039                3.73768e-12         4.10634e-14
             0.829272                3.35508e-12         3.97729e-14
             0.829504                3.42459e-12         3.99342e-14
             0.829737                3.60451e-12         3.89830e-14
             0.829970                3.53595e-12         3.70517e-14
             0.830203                3.37085e-12         3.64461e-14
             0.830436                2.98586e-12         3.62187e-14
             0.830668                2.91102e-12         3.78664e-14
             0.830901                3.16131e-12         3.83460e-14
             0.831134                3.41621e-12         3.71266e-14
             0.831366                3.34174e-12         3.61445e-14
             0.831599                3.28020e-12         3.57280e-14
             0.831832                3.49671e-12         3.65311e-14
             0.832065                3.69280e-12         3.79452e-14
             0.832297                3.73956e-12         3.94242e-14
             0.832530                3.83845e-12         3.89779e-14
             0.832763                3.79803e-12         3.85609e-14
             0.832995                3.77725e-12         3.62662e-14
             0.833228                3.87507e-12         3.67095e-14
             0.833461                3.92243e-12         3.69832e-14
             0.833693                3.46823e-12         3.67533e-14
             0.833926                3.20701e-12         3.71205e-14
             0.834159                3.42033e-12         3.68963e-14
             0.834391                3.62246e-12         3.59972e-14
             0.834624                3.42843e-12         3.43710e-14
             0.834857                3.28288e-12         3.42294e-14
             0.835089                3.43662e-12         3.49466e-14
             0.835322                3.58872e-12         3.62681e-14
             0.835554                3.54280e-12         3.63452e-14
             0.835787                3.65875e-12         3.57148e-14
             0.836019                3.77137e-12         3.51442e-14
             0.836252                3.86503e-12         3.52452e-14
             0.836485                3.81670e-12         3.56502e-14
             0.836717                3.88720e-12         3.58417e-14
             0.836950                4.08459e-12         3.67889e-14
             0.837182                4.17718e-12         3.66939e-14
             0.837415                3.95965e-12         3.53332e-14
             0.837647                3.57976e-12         3.43926e-14
             0.837880                3.63563e-12         3.44606e-14
             0.838112                3.93419e-12         3.51104e-14
             0.838345                3.92129e-12         3.51463e-14
             0.838577                3.88467e-12         3.58543e-14
             0.838810                3.61346e-12         3.47317e-14
             0.839042                3.19160e-12         3.30849e-14
             0.839275                3.32377e-12         3.32059e-14
             0.839507                3.50793e-12         3.31443e-14
             0.839740                3.52626e-12         3.35358e-14
             0.839972                3.46943e-12         3.40920e-14
             0.840205                3.57350e-12         3.42231e-14
             0.840437                3.69030e-12         3.36238e-14
             0.840670                3.81131e-12         3.35923e-14
             0.840902                3.89283e-12         3.38449e-14
             0.841135                3.90108e-12         3.41239e-14
             0.841367                4.01077e-12         3.43306e-14
             0.841600                4.28065e-12         3.53582e-14
             0.841832                4.30541e-12         3.54350e-14
