# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7653 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 21284-0747'    /                                                
# SPTYPE  = 'M8-9 III'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2006 Nov 29'        / UT date of SXD observations                    
# LXDUT   = '2006 Nov 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806642 / Minimum wavelength (um)                        
# MAXWAVE =              5.04515 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.17300000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        5.31600000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        4.75700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0143607000000 / Relative error in the absolute flux calibration
# RV      =        39.5009730000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806642                1.04884e-12         4.64079e-14
             0.806845                1.08775e-12         4.71935e-14
             0.807047                1.10634e-12         4.73034e-14
             0.807250                1.11947e-12         4.73251e-14
             0.807452                1.09673e-12         4.71661e-14
             0.807655                1.17214e-12         4.78246e-14
             0.807857                1.15148e-12         4.74341e-14
             0.808060                1.15107e-12         4.79435e-14
             0.808262                1.22049e-12         4.79319e-14
             0.808465                1.33947e-12         4.92160e-14
             0.808667                1.36305e-12         4.94770e-14
             0.808870                1.30005e-12         4.87749e-14
             0.809072                1.39167e-12         4.98410e-14
             0.809275                1.34687e-12         4.95420e-14
             0.809477                1.39810e-12         4.92713e-14
             0.809680                1.43869e-12         5.11009e-14
             0.809882                1.47359e-12         4.99689e-14
             0.810084                1.49452e-12         5.11574e-14
             0.810088                1.50444e-12         4.47478e-14
             0.810321                1.54429e-12         4.53567e-14
             0.810555                1.58492e-12         4.79169e-14
             0.810788                1.59467e-12         5.07337e-14
             0.811021                1.66080e-12         4.89611e-14
             0.811254                1.69082e-12         4.67669e-14
             0.811487                1.66081e-12         4.51404e-14
             0.811720                1.70346e-12         4.52060e-14
             0.811953                1.77776e-12         4.68860e-14
             0.812186                1.79818e-12         4.96500e-14
             0.812419                1.86843e-12         5.33287e-14
             0.812652                1.92431e-12         4.90375e-14
             0.812885                1.97907e-12         4.69672e-14
             0.813118                2.05549e-12         4.63609e-14
             0.813351                2.09687e-12         4.75698e-14
             0.813584                2.11158e-12         4.94299e-14
             0.813817                2.18317e-12         5.25064e-14
             0.814050                2.25574e-12         5.19840e-14
             0.814283                2.33474e-12         5.02749e-14
             0.814516                2.35333e-12         4.85579e-14
             0.814749                2.42404e-12         4.95855e-14
             0.814982                2.45204e-12         4.95405e-14
             0.815215                2.47717e-12         5.22787e-14
             0.815448                2.45795e-12         5.53002e-14
             0.815681                2.50317e-12         5.24857e-14
             0.815913                2.58598e-12         5.02763e-14
             0.816146                2.60137e-12         4.91935e-14
             0.816379                2.50866e-12         5.03076e-14
             0.816612                2.65628e-12         5.33989e-14
             0.816845                2.78134e-12         5.54098e-14
             0.817078                2.79547e-12         5.57587e-14
             0.817311                2.85467e-12         5.31899e-14
             0.817544                2.93107e-12         5.09359e-14
             0.817777                2.96417e-12         5.04591e-14
             0.818010                2.98706e-12         5.23664e-14
             0.818242                3.03444e-12         5.47032e-14
             0.818475                3.01115e-12         5.63580e-14
             0.818708                2.93520e-12         5.41168e-14
             0.818941                3.05434e-12         5.27510e-14
             0.819174                3.18895e-12         5.21074e-14
             0.819407                3.29356e-12         5.22797e-14
             0.819640                3.32266e-12         5.28884e-14
