# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:39 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7656 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 01037+1219'    /                                                
# SPTYPE  = 'M8 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jan 18'        / UT date of SXD observations                    
# LXDUT   = '2007 Jan 18'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807886 / Minimum wavelength (um)                        
# MAXWAVE =              5.05555 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.43700000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        4.64100000000 / 2MASS H magnitude                              
# HERR    =       0.200000000000 / 2MASS H magnitude error                        
# KS      =        2.21700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.298000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ACD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0256871000000 / Relative error in the absolute flux calibration
# RV      =        41.4075960000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807886               -1.84862e-14         6.99278e-14
             0.808119                5.61430e-15         7.01555e-14
             0.808353                2.90602e-15         6.82637e-14
             0.808586                1.15923e-14         6.83551e-14
             0.808819                1.41187e-14         6.69323e-14
             0.809053                1.08721e-13         6.72061e-14
             0.809286               -5.94882e-15         6.60764e-14
             0.809520                1.79858e-14         6.57012e-14
             0.809753                6.63600e-14         6.41931e-14
             0.809986                2.20381e-14         6.46980e-14
             0.810220               -3.07534e-14         6.34150e-14
             0.810453                1.59126e-14         6.20216e-14
             0.810686                1.85035e-15         6.12601e-14
             0.810920               -1.27393e-14         6.11636e-14
             0.811153                5.15976e-14         6.12397e-14
             0.811386                7.31647e-14         5.96510e-14
             0.811619                9.16541e-15         6.03299e-14
             0.811853                4.91794e-14         5.94521e-14
             0.812086                1.42513e-14         5.86646e-14
             0.812319                1.05326e-14         5.70993e-14
             0.812553               -1.92770e-14         5.68402e-14
             0.812786                2.64119e-14         5.62700e-14
             0.813019                3.46137e-14         5.53261e-14
             0.813252               -9.36746e-15         5.47951e-14
             0.813486                1.20903e-14         5.47390e-14
             0.813719               -2.55036e-14         5.36815e-14
             0.813952                2.10993e-14         5.32351e-14
             0.814185                4.22910e-14         5.27262e-14
             0.814418               -3.24918e-14         5.25581e-14
             0.814652                1.09405e-14         5.20486e-14
             0.814885               -1.20766e-14         5.22099e-14
             0.815118               -3.14087e-15         5.89993e-14
             0.815351                2.28909e-14         5.12230e-14
             0.815584                5.54870e-15         5.12031e-14
             0.815818               -4.19571e-14         5.03967e-14
             0.816051                3.30101e-14         4.90142e-14
             0.816284               -7.81791e-15         5.01649e-14
             0.816517                5.08905e-15         4.85489e-14
             0.816750                1.70461e-14         4.94773e-14
             0.816983                5.71189e-14         4.79643e-14
             0.817216               -1.19507e-14         4.87409e-14
             0.817450                1.52409e-14         4.70763e-14
             0.817683                3.31342e-14         4.76545e-14
             0.817916                4.77628e-14         4.66989e-14
             0.818149                1.77699e-14         4.73503e-14
             0.818382                3.97491e-14         4.66731e-14
             0.818615                2.47032e-14         4.67942e-14
             0.818848                2.25087e-14         4.55143e-14
             0.819081                3.55814e-14         4.61221e-14
             0.819314                6.62505e-14         4.56049e-14
             0.819547                7.56618e-14         4.50655e-14
             0.819780                5.29138e-14         4.43771e-14
             0.820013                1.01455e-13         4.42794e-14
             0.820246                1.68540e-14         4.37662e-14
             0.820479                2.24672e-14         4.38333e-14
             0.820712                3.11325e-14         4.28138e-14
             0.820945                2.92478e-14         4.25992e-14
             0.821178                2.12271e-14         4.18994e-14
             0.821411                1.44629e-14         4.31408e-14
