# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6737 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Gl 752B '           /                                                
# SPTYPE  = 'M8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Jul 13'        / UT date of SXD observations                    
# LXDUT   = '2001 Jul 13'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.808354 / Minimum wavelength (um)                        
# MAXWAVE =              4.14313 / Maximum wavelength (um)                        
# V       =        17.5000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        2.13000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        9.90800000000 / 2MASS J magnitude                              
# JERR    =      0.0250000000000 / 2MASS J magnitude error                        
# H       =        9.22600000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        8.76500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0220000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0139409000000 / Relative error in the absolute flux calibration
# RV      =        16.4866070000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.25000000000 / Intrinsic Color                                
# E(B-V)  =      -0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808354                1.38584e-13         3.01141e-15
             0.808556                1.42824e-13         2.94986e-15
             0.808759                1.46171e-13         3.02075e-15
             0.808962                1.43057e-13         2.96559e-15
             0.809164                1.46774e-13         3.03118e-15
             0.809367                1.41656e-13         2.98027e-15
             0.809569                1.47072e-13         3.05164e-15
             0.809772                1.46840e-13         2.98308e-15
             0.809974                1.51327e-13         3.10323e-15
             0.810176                1.47830e-13         3.04063e-15
             0.810379                1.47295e-13         3.05161e-15
             0.810581                1.45108e-13         3.04512e-15
             0.810784                1.46617e-13         3.10243e-15
             0.810986                1.59760e-13         3.08343e-15
             0.811189                1.56836e-13         3.14543e-15
             0.811374                1.57768e-13         2.64345e-15
             0.811607                1.58205e-13         2.73347e-15
             0.811840                1.58883e-13         2.72465e-15
             0.812073                1.60630e-13         2.86518e-15
             0.812306                1.70395e-13         3.02770e-15
             0.812539                1.72763e-13         2.82162e-15
             0.812772                1.71163e-13         2.72104e-15
             0.813005                1.76029e-13         2.60576e-15
             0.813238                1.76754e-13         2.71329e-15
             0.813471                1.71693e-13         2.77260e-15
             0.813704                1.75511e-13         2.98625e-15
             0.813937                1.80764e-13         2.92880e-15
             0.814170                1.84074e-13         2.77869e-15
             0.814403                1.79087e-13         2.70461e-15
             0.814636                1.72967e-13         2.62960e-15
             0.814869                1.78143e-13         2.73353e-15
             0.815102                1.76931e-13         2.84697e-15
             0.815335                1.77559e-13         2.99347e-15
             0.815568                1.83291e-13         2.91576e-15
             0.815801                1.81926e-13         2.71405e-15
             0.816034                1.78684e-13         2.67967e-15
             0.816267                1.74858e-13         2.66254e-15
             0.816500                1.77102e-13         2.87427e-15
             0.816733                1.90829e-13         2.91613e-15
             0.816966                1.92500e-13         2.99289e-15
             0.817199                1.96074e-13         2.87102e-15
             0.817432                1.95248e-13         2.67083e-15
             0.817665                1.85215e-13         2.64159e-15
             0.817898                1.87170e-13         2.73024e-15
             0.818130                1.68908e-13         2.82028e-15
             0.818363                1.36379e-13         2.83767e-15
             0.818596                1.11196e-13         2.71409e-15
             0.818829                1.34162e-13         2.67419e-15
             0.819062                1.61010e-13         2.59362e-15
             0.819295                1.55437e-13         2.61597e-15
             0.819528                1.23883e-13         2.54641e-15
             0.819761                9.94442e-14         2.63633e-15
             0.819994                1.14034e-13         2.74779e-15
             0.820226                1.38026e-13         2.64597e-15
             0.820459                1.55893e-13         2.54015e-15
             0.820692                1.56666e-13         2.48718e-15
             0.820925                1.44531e-13         2.47859e-15
             0.821158                1.51104e-13         2.55288e-15
             0.821391                1.56460e-13         2.69035e-15
             0.821623                1.57620e-13         2.72712e-15
             0.821856                1.57196e-13         2.58616e-15
             0.822089                1.63800e-13         2.59043e-15
             0.822322                1.63760e-13         2.47908e-15
             0.822555                1.76808e-13         2.62113e-15
             0.822787                1.77409e-13         2.71975e-15
             0.823020                1.81443e-13         2.97674e-15
             0.823253                1.90642e-13         2.83671e-15
             0.823486                1.83569e-13         2.64848e-15
             0.823719                1.79989e-13         2.61541e-15
             0.823951                1.89307e-13         2.50215e-15
             0.824184                1.89718e-13         2.55610e-15
             0.824417                1.88577e-13         2.67483e-15
             0.824650                1.86676e-13         2.69748e-15
             0.824882                1.86767e-13         2.65494e-15
             0.825115                1.87137e-13         2.46829e-15
             0.825348                1.76673e-13         2.45970e-15
             0.825580                1.68825e-13         2.43818e-15
             0.825813                1.67164e-13         2.57562e-15
             0.826046                1.73667e-13         2.59102e-15
             0.826279                1.82978e-13         2.66042e-15
             0.826511                1.89960e-13         2.53519e-15
             0.826744                1.85481e-13         2.46073e-15
             0.826977                1.80534e-13         2.42341e-15
             0.827209                1.74872e-13         2.45366e-15
             0.827442                1.67877e-13         2.53284e-15
             0.827675                1.70511e-13         2.67420e-15
             0.827907                1.75967e-13         2.55843e-15
             0.828140                1.74732e-13         2.50273e-15
             0.828373                1.69265e-13         2.42181e-15
             0.828605                1.63800e-13         2.41162e-15
             0.828838                1.61189e-13         2.43785e-15
             0.829071                1.51341e-13         2.50824e-15
             0.829303                1.50775e-13         2.48963e-15
             0.829536                1.49256e-13         2.42981e-15
             0.829768                1.57156e-13         2.36436e-15
             0.830001                1.50740e-13         2.34682e-15
             0.830234                1.46786e-13         2.32001e-15
             0.830466                1.41662e-13         2.40924e-15
             0.830699                1.38215e-13         2.42534e-15
             0.830931                1.44092e-13         2.40841e-15
             0.831164                1.46029e-13         2.31667e-15
             0.831397                1.50526e-13         2.32169e-15
             0.831629                1.49794e-13         2.26088e-15
             0.831862                1.55900e-13         2.36790e-15
             0.832094                1.61826e-13         2.37195e-15
             0.832327                1.66705e-13         2.48875e-15
             0.832559                1.67504e-13         2.39926e-15
             0.832792                1.58363e-13         2.30018e-15
             0.833024                1.52836e-13         2.29689e-15
             0.833257                1.62142e-13         2.28492e-15
             0.833489                1.64297e-13         2.31585e-15
             0.833722                1.54250e-13         2.37876e-15
             0.833955                1.55880e-13         2.34792e-15
             0.834187                1.58097e-13         2.33899e-15
             0.834419                1.58372e-13         2.23388e-15
             0.834652                1.48977e-13         2.23197e-15
             0.834885                1.47314e-13         2.19594e-15
             0.835117                1.55240e-13         2.26148e-15
             0.835349                1.55712e-13         2.30863e-15
             0.835582                1.54359e-13         2.30788e-15
             0.835814                1.54930e-13         2.25995e-15
             0.836047                1.63828e-13         2.21030e-15
             0.836279                1.63513e-13         2.19678e-15
             0.836512                1.56443e-13         2.20445e-15
             0.836744                1.54928e-13         2.21484e-15
             0.836977                1.70706e-13         2.30094e-15
             0.837209                1.77342e-13         2.22239e-15
             0.837442                1.61576e-13         2.21459e-15
             0.837674                1.50815e-13         2.12553e-15
             0.837906                1.50022e-13         2.15473e-15
             0.838139                1.55970e-13         2.21796e-15
             0.838371                1.57877e-13         2.19990e-15
             0.838604                1.56008e-13         2.19304e-15
             0.838836                1.44785e-13         2.16668e-15
             0.839068                1.35175e-13         2.12382e-15
             0.839301                1.45748e-13         2.14550e-15
             0.839533                1.47785e-13         2.11260e-15
             0.839765                1.49046e-13         2.16841e-15
             0.839998                1.52490e-13         2.16068e-15
             0.840230                1.63162e-13         2.19654e-15
             0.840463                1.63466e-13         2.11906e-15
             0.840695                1.65871e-13         2.14509e-15
             0.840927                1.68108e-13         2.09802e-15
             0.841160                1.71936e-13         2.15122e-15
             0.841392                1.60623e-13         2.11829e-15
             0.841624                1.67553e-13         2.19337e-15
             0.841857                1.75234e-13         2.14263e-15
             0.842089                1.65286e-13         2.09604e-15
             0.842321                1.53371e-13         2.03478e-15
             0.842554                1.59473e-13         2.06540e-15
             0.842786                1.58724e-13         2.04882e-15
             0.843018                1.54802e-13         2.10366e-15
             0.843250                1.58345e-13         2.06550e-15
             0.843483                1.35199e-13         2.04350e-15
             0.843715                1.04320e-13         1.91394e-15
             0.843947                1.06531e-13         1.92830e-15
             0.844180                1.27618e-13         1.96357e-15
             0.844412                1.09898e-13         1.97432e-15
             0.844644                9.17653e-14         1.95593e-15
             0.844876                9.27674e-14         2.02043e-15
             0.845109                1.00411e-13         1.93145e-15
             0.845341                8.92895e-14         1.88635e-15
             0.845573                7.48096e-14         1.81666e-15
             0.845805                7.61607e-14         1.82634e-15
             0.846038                7.63434e-14         1.82368e-15
             0.846270                8.34635e-14         1.90088e-15
             0.846502                8.55090e-14         1.83466e-15
             0.846734                7.97637e-14         1.83920e-15
             0.846967                7.87333e-14         1.76608e-15
             0.847199                8.23407e-14         1.80731e-15
             0.847431                8.16023e-14         1.78344e-15
             0.847663                8.04523e-14         1.82900e-15
             0.847895                8.97240e-14         1.80684e-15
             0.848127                9.01771e-14         1.83732e-15
             0.848360                8.92263e-14         1.78589e-15
             0.848592                9.14131e-14         1.80451e-15
             0.848824                9.39200e-14         1.80264e-15
             0.849056                9.82131e-14         1.82914e-15
             0.849288                1.03840e-13         1.83538e-15
             0.849520                1.05586e-13         1.83838e-15
             0.849753                9.60612e-14         1.77325e-15
             0.849985                9.02622e-14         1.78610e-15
             0.850217                9.38013e-14         1.73491e-15
             0.850449                1.02138e-13         1.81346e-15
             0.850681                9.39487e-14         1.76588e-15
             0.850913                8.57598e-14         1.80801e-15
             0.851145                8.90957e-14         1.75731e-15
             0.851377                9.69978e-14         1.77123e-15
             0.851610                9.52786e-14         1.75974e-15
             0.851842                8.73737e-14         1.75229e-15
             0.852074                8.30664e-14         1.71599e-15
