# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:43 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6675 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'LP 412-31'          /                                                
# SPTYPE  = 'M8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Sep 20'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.813805 / Minimum wavelength (um)                        
# MAXWAVE =              4.11097 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        11.7590000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        11.0660000000 / 2MASS H magnitude                              
# HERR    =      0.0220000000000 / 2MASS H magnitude error                        
# KS      =        10.6390000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0116090000000 / Relative error in the absolute flux calibration
# RV      =        14.0009780000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.25000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813805                3.31275e-14         5.98033e-16
             0.814038                3.21295e-14         5.68464e-16
             0.814271                3.11734e-14         6.35292e-16
             0.814504                3.01407e-14         8.04736e-16
             0.814737                3.23471e-14         7.38880e-16
             0.814970                3.28928e-14         9.65063e-16
             0.815204                3.16305e-14         1.34363e-15
             0.815437                3.00218e-14         1.23606e-15
             0.815670                3.05994e-14         8.05063e-16
             0.815903                3.24984e-14         6.94832e-16
             0.816136                3.26898e-14         8.48380e-16
             0.816369                3.21429e-14         8.06915e-16
             0.816602                3.20365e-14         7.80373e-16
             0.816835                3.51223e-14         6.58868e-16
             0.817068                3.68249e-14         6.04849e-16
             0.817302                3.47245e-14         8.13963e-16
             0.817535                3.23080e-14         7.97915e-16
             0.817768                3.20816e-14         5.55118e-16
             0.818001                3.07990e-14         5.42110e-16
             0.818234                2.60450e-14         7.73198e-16
             0.818467                2.07291e-14         1.00900e-15
             0.818700                2.00730e-14         1.00391e-15
             0.818933                2.40540e-14         7.01243e-16
             0.819166                2.72327e-14         5.06462e-16
             0.819399                2.40454e-14         4.48988e-16
             0.819632                1.83647e-14         4.64260e-16
             0.819865                1.70527e-14         6.84655e-16
             0.820098                2.07773e-14         8.33135e-16
             0.820331                2.55557e-14         7.39890e-16
             0.820564                2.72970e-14         6.32484e-16
             0.820797                2.66394e-14         5.76468e-16
             0.821030                2.54485e-14         6.12069e-16
             0.821263                2.59527e-14         7.02504e-16
             0.821496                2.78083e-14         6.43801e-16
             0.821729                2.87598e-14         5.70198e-16
             0.821962                2.88863e-14         6.00150e-16
             0.822195                2.94809e-14         6.71483e-16
             0.822428                3.03784e-14         7.75248e-16
             0.822660                2.98150e-14         9.31269e-16
             0.822893                2.89247e-14         9.46158e-16
             0.823126                3.00003e-14         7.14369e-16
             0.823359                3.16904e-14         5.39464e-16
             0.823592                3.20995e-14         5.37867e-16
             0.823825                3.22582e-14         4.57645e-16
             0.824058                3.30800e-14         3.21590e-16
             0.824291                3.36182e-14         4.69077e-16
             0.824524                3.28909e-14         7.42516e-16
             0.824756                3.30489e-14         9.21227e-16
             0.824989                3.35010e-14         9.52874e-16
             0.825222                3.25099e-14         7.42032e-16
             0.825455                3.06148e-14         5.63289e-16
             0.825688                3.02112e-14         5.18963e-16
             0.825921                3.09995e-14         5.10292e-16
             0.826153                3.07955e-14         7.73315e-16
             0.826386                3.20241e-14         9.50797e-16
             0.826619                3.31767e-14         9.29132e-16
             0.826852                3.38164e-14         9.83132e-16
             0.827085                3.23936e-14         8.72914e-16
             0.827317                3.08748e-14         7.08430e-16
