# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6700 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BRI B0021-0214'     /                                                
# SPTYPE  = 'M9.5 V  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 12'        / UT date of SXD observations                    
# LXDUT   = '2000 Nov 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.809757 / Minimum wavelength (um)                        
# MAXWAVE =              4.11880 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        11.9920000000 / 2MASS J magnitude                              
# JERR    =      0.0350000000000 / 2MASS J magnitude error                        
# H       =        11.0840000000 / 2MASS H magnitude                              
# HERR    =      0.0220000000000 / 2MASS H magnitude error                        
# KS      =        10.5390000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0144748000000 / Relative error in the absolute flux calibration
# RV      =        9.47414210000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.32000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809757                5.26849e-15         6.27358e-15
             0.809990                8.58673e-15         3.71645e-15
             0.810223                1.50792e-14         4.00600e-15
             0.810457                1.54465e-14         5.22375e-15
             0.810690                1.78477e-14         4.08312e-15
             0.810923                2.21560e-14         5.01141e-15
             0.811156                7.86660e-15         1.42351e-15
             0.811389                1.33171e-14         3.54285e-15
             0.811622                1.57591e-14         3.17701e-15
             0.811855                8.67988e-15         4.90674e-15
             0.812088                1.30279e-14         4.87235e-15
             0.812321                1.16682e-14         2.91760e-15
             0.812554                1.79441e-14         1.13185e-15
             0.812787                1.77462e-14         5.20764e-15
             0.813020                8.97731e-15         2.96137e-15
             0.813254                1.43323e-14         3.07444e-15
             0.813487                2.17576e-14         5.04788e-15
             0.813720                2.13593e-14         4.84184e-15
             0.813953                1.38915e-14         2.56058e-15
             0.814186                2.32062e-14         4.20854e-15
             0.814419                1.92256e-14         5.10796e-15
             0.814652                1.51513e-14         2.24206e-15
             0.814885                1.99074e-14         6.15891e-15
             0.815118                1.14977e-14         2.14866e-15
             0.815351                1.80482e-14         2.41303e-15
             0.815584                1.27082e-14         2.94770e-15
             0.815817                1.45995e-14         1.16233e-15
             0.816049                1.22006e-14         4.51740e-15
             0.816282                1.37799e-14         3.23293e-15
             0.816515                2.27297e-14         4.52848e-15
             0.816748                1.63913e-14         3.36096e-15
             0.816981                1.88475e-14         4.38696e-15
             0.817214                1.60054e-14         4.89747e-15
             0.817447                1.86442e-14         7.08889e-15
             0.817680                2.96417e-14         3.31995e-15
             0.817913                1.97767e-14         5.17856e-15
             0.818146                1.72013e-14         4.90976e-15
             0.818379                1.09601e-14         2.41514e-15
             0.818612                2.12006e-14         4.27424e-15
             0.818845                2.14286e-14         5.26284e-15
             0.819078                1.70120e-14         4.68566e-15
             0.819310                1.73829e-14         4.71050e-15
             0.819543                1.82611e-14         3.22429e-15
             0.819776                1.13792e-14         3.87161e-15
             0.820009                9.17283e-15         3.84709e-15
             0.820242                1.36668e-14         2.83138e-15
             0.820475                2.20908e-14         1.32237e-15
             0.820708                1.81262e-14         2.57475e-15
             0.820940                1.62859e-14         3.34450e-15
             0.821173                8.95232e-15         2.33639e-15
             0.821406                2.00822e-14         7.31673e-15
             0.821639                1.61430e-14         2.62203e-15
             0.821872                9.00102e-15         2.10666e-15
             0.822104                1.26545e-14         4.56820e-15
             0.822337                2.26752e-14         3.91739e-15
             0.822570                2.19519e-14         4.13499e-15
             0.822803                1.48041e-14         2.17917e-15
             0.823036                1.24710e-14         3.37273e-15
             0.823268                1.78464e-14         2.52703e-15
             0.823501                1.96924e-14         3.34654e-15
             0.823734                1.57487e-14         4.15915e-15
             0.823967                1.71626e-14         3.22089e-15
