# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:52 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4152 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BRI B1219-1336'     /                                                
# SPTYPE  = 'M9 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 09'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.811017 / Minimum wavelength (um)                        
# MAXWAVE =              2.42351 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        8.65900000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        7.89200000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        7.34400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0144527000000 / Relative error in the absolute flux calibration
# RV      =        119.650250000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811017                3.43277e-13         8.73767e-15
             0.811220                3.59085e-13         8.71897e-15
             0.811422                3.53205e-13         8.77667e-15
             0.811624                3.46900e-13         8.64481e-15
             0.811827                3.39991e-13         8.62914e-15
             0.812029                3.49626e-13         8.76534e-15
             0.812231                3.79668e-13         8.81978e-15
             0.812433                3.97297e-13         8.89789e-15
             0.812636                3.97210e-13         8.99050e-15
             0.812838                4.16450e-13         8.94693e-15
             0.813040                4.17639e-13         9.25011e-15
             0.813242                4.18650e-13         9.49644e-15
             0.813445                3.99809e-13         9.46759e-15
             0.813647                4.37706e-13         9.23285e-15
             0.813849                4.40974e-13         9.37918e-15
             0.814051                4.31514e-13         9.53106e-15
             0.814208                4.51490e-13         8.27200e-15
             0.814441                4.66083e-13         7.99827e-15
             0.814674                4.58464e-13         8.32099e-15
             0.814907                4.58933e-13         8.48887e-15
             0.815140                4.82856e-13         8.93127e-15
             0.815374                4.76435e-13         9.23136e-15
             0.815607                4.87855e-13         8.63388e-15
             0.815840                4.79464e-13         8.37329e-15
             0.816073                4.81007e-13         8.58752e-15
             0.816306                4.75641e-13         8.86158e-15
             0.816539                4.96471e-13         8.92091e-15
             0.816773                5.16867e-13         9.57239e-15
             0.817006                5.15582e-13         9.01677e-15
             0.817239                5.24271e-13         8.46303e-15
             0.817472                5.30173e-13         8.43909e-15
             0.817705                5.43840e-13         8.77382e-15
             0.817938                5.43594e-13         8.83437e-15
             0.818171                5.47058e-13         8.84836e-15
             0.818404                5.35110e-13         8.93021e-15
             0.818637                5.19178e-13         8.72107e-15
             0.818870                5.47489e-13         8.40786e-15
             0.819103                5.76383e-13         8.24680e-15
             0.819336                5.96064e-13         8.30017e-15
             0.819569                5.69573e-13         8.65265e-15
             0.819802                5.13803e-13         8.97491e-15
             0.820036                4.46774e-13         8.41952e-15
             0.820269                3.79278e-13         7.62793e-15
             0.820502                3.99705e-13         7.38046e-15
             0.820735                3.45900e-13         7.26388e-15
             0.820968                3.20071e-13         7.39490e-15
             0.821200                3.05943e-13         7.67578e-15
             0.821434                3.28331e-13         7.98454e-15
             0.821666                3.35189e-13         7.74737e-15
             0.821899                3.29418e-13         7.50246e-15
             0.822132                3.42092e-13         7.41806e-15
             0.822365                3.43504e-13         7.86465e-15
             0.822598                3.58069e-13         8.87846e-15
             0.822831                3.70498e-13         1.00169e-14
             0.823064                3.95118e-13         9.07492e-15
             0.823297                4.16564e-13         8.12236e-15
             0.823530                3.98785e-13         7.45889e-15
             0.823763                3.91848e-13         7.25816e-15
             0.823996                3.90246e-13         7.41407e-15
