# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:51 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4165 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'IRAS 15060+0947'    /                                                
# SPTYPE  = 'M9 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2006 Jun 24'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.808419 / Minimum wavelength (um)                        
# MAXWAVE =              2.42419 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.45000000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        4.52000000000 / 2MASS H magnitude                              
# HERR    =       0.232000000000 / 2MASS H magnitude error                        
# KS      =        3.83600000000 / 2MASS Ks magnitude                             
# KSERR   =       0.272000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ADD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0198728000000 / Relative error in the absolute flux calibration
# RV      =        34.6699500000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        1.50000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808419                4.23060e-12         1.56501e-13
             0.808622                4.52878e-12         1.58950e-13
             0.808824                4.37035e-12         1.56932e-13
             0.809027                4.26988e-12         1.58013e-13
             0.809229                4.52349e-12         1.56989e-13
             0.809432                4.65137e-12         1.57181e-13
             0.809634                4.58543e-12         1.57743e-13
             0.809837                4.93545e-12         1.59068e-13
             0.810039                5.08650e-12         1.59409e-13
             0.810241                4.83475e-12         1.61321e-13
             0.810444                4.97463e-12         1.60014e-13
             0.810646                5.53686e-12         1.65493e-13
             0.810849                5.17536e-12         1.59095e-13
             0.811051                5.23423e-12         1.60104e-13
             0.811253                5.20537e-12         1.62490e-13
             0.811456                5.43847e-12         1.62913e-13
             0.811658                5.18875e-12         1.62543e-13
             0.811861                5.30973e-12         1.63540e-13
             0.811906                5.39476e-12         1.46238e-13
             0.812139                5.84891e-12         1.53554e-13
             0.812372                5.94864e-12         1.60326e-13
             0.812605                5.99921e-12         1.51208e-13
             0.812838                6.18307e-12         1.43891e-13
             0.813071                6.50563e-12         1.41256e-13
             0.813304                6.47155e-12         1.44196e-13
             0.813537                6.45905e-12         1.52530e-13
             0.813770                6.68911e-12         1.60241e-13
             0.814003                6.94501e-12         1.57081e-13
             0.814237                7.04047e-12         1.50981e-13
             0.814470                6.98862e-12         1.44559e-13
             0.814703                7.03825e-12         1.43425e-13
             0.814936                7.20073e-12         1.49197e-13
             0.815169                7.17199e-12         1.56054e-13
             0.815402                7.37146e-12         1.64532e-13
             0.815635                7.22426e-12         1.56432e-13
             0.815868                7.43902e-12         1.48645e-13
             0.816101                7.16701e-12         1.44689e-13
             0.816334                7.16883e-12         1.50786e-13
             0.816567                7.59892e-12         1.57754e-13
             0.816800                8.06130e-12         1.62953e-13
             0.817033                8.04999e-12         1.66201e-13
             0.817266                7.85878e-12         1.52941e-13
             0.817499                8.09993e-12         1.45980e-13
             0.817732                8.23511e-12         1.46671e-13
             0.817965                8.45511e-12         1.53555e-13
             0.818198                8.26088e-12         1.57576e-13
             0.818431                7.97052e-12         1.61764e-13
             0.818664                7.94264e-12         1.55339e-13
             0.818897                8.37375e-12         1.51088e-13
             0.819130                9.03537e-12         1.47567e-13
             0.819363                9.34878e-12         1.46277e-13
             0.819595                8.31970e-12         1.48183e-13
             0.819828                7.36739e-12         1.53969e-13
             0.820061                6.37911e-12         1.58452e-13
             0.820294                5.77486e-12         1.48715e-13
             0.820527                5.92032e-12         1.39837e-13
