# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:54 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6697 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'DENIS-P J104814.7-395606.1' /                                        
# SPTYPE  = 'M9 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 09'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.809433 / Minimum wavelength (um)                        
# MAXWAVE =              4.11580 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        9.53800000000 / 2MASS J magnitude                              
# JERR    =      0.0220000000000 / 2MASS J magnitude error                        
# H       =        8.90500000000 / 2MASS H magnitude                              
# HERR    =      0.0440000000000 / 2MASS H magnitude error                        
# KS      =        8.44700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0149520000000 / Relative error in the absolute flux calibration
# RV      =       -21.0189250000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.32000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809433                1.85737e-13         3.39150e-15
             0.809636                1.84956e-13         3.40295e-15
             0.809838                1.86309e-13         3.36679e-15
             0.810041                1.78031e-13         3.46946e-15
             0.810243                1.87394e-13         3.37848e-15
             0.810446                1.79171e-13         3.47018e-15
             0.810648                1.85712e-13         3.43621e-15
             0.810851                1.98426e-13         3.48627e-15
             0.811053                2.02248e-13         3.46601e-15
             0.811256                2.07929e-13         3.52158e-15
             0.811458                2.06507e-13         3.51986e-15
             0.811661                2.04981e-13         3.52433e-15
             0.811863                1.99133e-13         3.46215e-15
             0.812066                2.12322e-13         3.57647e-15
             0.812268                2.18739e-13         3.55897e-15
             0.812400                2.09613e-13         3.16459e-15
             0.812634                2.16334e-13         3.00829e-15
             0.812867                2.25424e-13         2.94715e-15
             0.813100                2.23218e-13         2.93125e-15
             0.813333                2.19359e-13         3.08992e-15
             0.813566                2.21658e-13         3.25451e-15
             0.813799                2.27110e-13         3.30175e-15
             0.814032                2.28985e-13         3.12852e-15
             0.814265                2.21425e-13         2.99250e-15
             0.814499                2.10916e-13         2.97596e-15
             0.814732                2.08606e-13         2.96843e-15
             0.814965                2.13645e-13         3.14179e-15
             0.815198                2.18741e-13         3.30108e-15
             0.815431                2.19756e-13         3.22098e-15
             0.815664                2.21973e-13         3.13260e-15
             0.815897                2.26584e-13         2.98738e-15
             0.816130                2.18816e-13         3.03666e-15
             0.816363                2.24299e-13         3.13002e-15
             0.816596                2.35607e-13         3.37898e-15
             0.816829                2.36943e-13         3.40678e-15
             0.817062                2.44826e-13         3.23448e-15
             0.817295                2.41766e-13         3.11518e-15
             0.817528                2.37831e-13         2.92191e-15
             0.817761                2.26721e-13         2.96051e-15
             0.817994                2.10254e-13         3.16091e-15
             0.818227                1.73344e-13         3.25393e-15
             0.818460                1.41058e-13         3.04854e-15
             0.818693                1.53784e-13         2.90526e-15
             0.818926                1.86678e-13         2.91296e-15
             0.819159                1.86344e-13         2.91811e-15
             0.819392                1.52998e-13         2.90785e-15
             0.819625                1.22057e-13         2.88733e-15
             0.819858                1.28304e-13         3.03799e-15
             0.820091                1.59547e-13         3.05606e-15
             0.820324                1.90275e-13         3.06297e-15
             0.820557                1.99785e-13         2.81972e-15
             0.820790                1.82149e-13         2.76239e-15
             0.821023                1.84518e-13         2.81423e-15
             0.821256                1.93987e-13         2.95113e-15
             0.821488                1.94614e-13         2.98535e-15
             0.821721                1.93753e-13         2.89409e-15
             0.821954                2.09358e-13         2.86849e-15
             0.822187                2.07278e-13         2.84268e-15
             0.822420                2.19044e-13         2.85711e-15
             0.822653                2.19611e-13         3.09083e-15
