# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4099 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'LHS 2065'           /                                                
# SPTYPE  = 'M9 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 10'        / UT date of SXD observations                    
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.813416 / Minimum wavelength (um)                        
# MAXWAVE =              2.41111 / Maximum wavelength (um)                        
# V       =        18.8500000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        11.2120000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        10.4690000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        9.94200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0145947000000 / Relative error in the absolute flux calibration
# RV      =        20.3797960000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.32000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813416                3.29115e-14         2.04175e-15
             0.813649                3.64187e-14         2.01623e-15
             0.813882                3.36887e-14         1.99235e-15
             0.814115                3.35833e-14         1.97885e-15
             0.814348                3.38893e-14         1.94556e-15
             0.814581                3.56340e-14         1.95216e-15
             0.814814                3.12955e-14         1.91827e-15
             0.815047                3.37865e-14         1.93376e-15
             0.815280                3.52952e-14         1.90813e-15
             0.815513                3.22908e-14         1.90023e-15
             0.815746                3.47942e-14         1.87257e-15
             0.815979                3.54403e-14         1.87285e-15
             0.816212                3.48130e-14         1.85716e-15
             0.816445                3.55850e-14         1.87432e-15
             0.816678                3.40175e-14         1.86040e-15
             0.816911                3.53856e-14         1.83693e-15
             0.817144                3.69160e-14         1.80659e-15
             0.817377                3.93727e-14         1.77373e-15
             0.817610                3.93193e-14         1.75621e-15
             0.817843                3.53969e-14         1.77117e-15
             0.818076                3.25323e-14         1.75715e-15
             0.818309                2.84688e-14         1.74442e-15
             0.818542                2.70722e-14         1.68914e-15
             0.818775                2.87158e-14         1.68742e-15
             0.819008                2.86657e-14         1.69189e-15
             0.819241                3.21647e-14         1.68674e-15
             0.819474                2.77281e-14         1.65046e-15
             0.819707                2.47146e-14         1.62785e-15
             0.819940                2.36230e-14         1.61167e-15
             0.820172                3.06292e-14         1.62087e-15
             0.820405                3.06111e-14         1.58999e-15
             0.820638                3.13032e-14         1.57626e-15
             0.820871                2.95546e-14         1.58498e-15
             0.821104                2.88867e-14         1.58658e-15
             0.821337                2.98726e-14         1.52322e-15
             0.821570                2.93322e-14         1.52430e-15
             0.821803                3.03877e-14         1.50701e-15
             0.822035                3.25038e-14         1.51825e-15
             0.822268                3.32468e-14         1.50088e-15
             0.822501                3.39253e-14         1.52363e-15
             0.822734                3.55971e-14         1.55530e-15
             0.822967                3.59403e-14         1.61844e-15
             0.823200                3.38977e-14         1.58198e-15
             0.823433                3.69144e-14         1.56038e-15
             0.823665                3.68809e-14         1.48681e-15
             0.823898                3.62954e-14         1.46878e-15
             0.824131                3.72332e-14         1.43288e-15
             0.824364                3.77296e-14         1.44389e-15
             0.824596                3.75834e-14         1.42534e-15
             0.824829                3.54830e-14         1.40313e-15
             0.825062                3.73247e-14         1.38200e-15
             0.825295                3.61756e-14         1.37674e-15
             0.825528                3.54898e-14         1.35911e-15
             0.825760                3.33974e-14         1.37148e-15
             0.825993                3.64883e-14         1.36067e-15
             0.826226                3.47637e-14         1.37008e-15
