# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4116 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'LHS 2924'           /                                                
# SPTYPE  = 'M9 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 23'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.813889 / Minimum wavelength (um)                        
# MAXWAVE =              2.41759 / Maximum wavelength (um)                        
# V       =        19.5800000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        11.9900000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        11.2250000000 / 2MASS H magnitude                              
# HERR    =      0.0290000000000 / 2MASS H magnitude error                        
# KS      =        10.7440000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0138772000000 / Relative error in the absolute flux calibration
# RV      =       -60.2709640000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.32000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813889                1.55161e-14         3.88249e-15
             0.814123                1.98759e-14         3.93998e-15
             0.814357                2.20909e-14         3.76384e-15
             0.814591                1.21043e-14         3.82127e-15
             0.814824                2.28490e-14         3.73221e-15
             0.815058                2.07883e-14         3.76449e-15
             0.815292                1.87756e-14         3.64034e-15
             0.815525                1.92376e-14         3.68319e-15
             0.815759                1.93841e-14         3.56901e-15
             0.815993                2.00931e-14         3.64910e-15
             0.816226                1.90458e-14         3.54802e-15
             0.816460                2.12155e-14         3.66538e-15
             0.816693                1.80696e-14         3.55310e-15
             0.816927                2.23733e-14         3.53497e-15
             0.817161                2.11258e-14         3.40947e-15
             0.817394                2.27542e-14         3.47247e-15
             0.817628                2.08322e-14         3.33241e-15
             0.817861                2.02638e-14         3.40152e-15
             0.818095                1.76619e-14         3.33664e-15
             0.818329                1.59592e-14         3.39847e-15
             0.818562                1.41644e-14         3.24308e-15
             0.818796                9.10514e-15         3.24536e-15
             0.819029                1.56864e-14         3.14405e-15
             0.819263                1.61328e-14         3.21707e-15
             0.819496                1.07281e-14         3.13294e-15
             0.819730                1.08199e-14         3.17834e-15
             0.819963                9.68897e-15         3.08851e-15
             0.820197                1.10946e-14         3.14355e-15
             0.820430                1.59809e-14         3.04063e-15
             0.820664                1.31383e-14         3.04816e-15
             0.820897                8.03210e-15         3.05309e-15
             0.821131                1.48534e-14         2.97623e-15
             0.821364                1.91156e-14         2.88853e-15
             0.821598                1.85446e-14         2.98626e-15
             0.821831                1.46102e-14         2.86383e-15
             0.822064                1.97634e-14         2.90618e-15
             0.822298                2.12873e-14         2.84694e-15
             0.822531                1.78061e-14         2.89799e-15
             0.822765                1.93429e-14         2.82620e-15
             0.822998                2.04403e-14         2.92070e-15
             0.823231                2.29149e-14         2.87689e-15
             0.823465                2.12377e-14         2.89383e-15
             0.823698                2.16283e-14         2.73772e-15
             0.823931                2.28623e-14         2.77609e-15
             0.824165                1.84603e-14         2.65855e-15
             0.824398                2.15463e-14         2.70657e-15
             0.824631                1.88826e-14         2.63405e-15
             0.824865                2.40923e-14         2.66705e-15
             0.825098                2.27929e-14         2.55399e-15
             0.825331                1.62806e-14         2.63614e-15
             0.825565                1.81881e-14         2.55914e-15
             0.825798                1.79490e-14         2.61981e-15
             0.826031                1.94778e-14         2.53773e-15
             0.826264                1.91310e-14         2.56517e-15
             0.826498                2.13918e-14         2.49169e-15
             0.826731                2.02510e-14         2.53948e-15
             0.826964                2.28565e-14         2.45348e-15
             0.827197                1.81749e-14         2.50438e-15
             0.827430                2.01131e-14         2.40215e-15
             0.827664                1.85199e-14         2.48995e-15
             0.827897                1.96291e-14         2.43079e-15
             0.828130                2.13869e-14         2.44160e-15
             0.828363                1.92722e-14         2.37277e-15
             0.828596                1.58704e-14         2.39756e-15
             0.828830                1.49546e-14         2.32306e-15
             0.829063                1.50951e-14         2.37001e-15
             0.829296                1.55225e-14         2.31939e-15
             0.829529                1.36481e-14         2.33401e-15
             0.829762                1.69387e-14         2.28173e-15
             0.829995                1.60293e-14         2.30580e-15
             0.830228                1.37470e-14         2.24306e-15
             0.830462                1.52116e-14         2.27090e-15
             0.830695                1.59759e-14         2.20686e-15
             0.830928                1.48250e-14         2.23273e-15
             0.831161                1.71746e-14         2.18319e-15
             0.831394                1.66579e-14         2.19786e-15
             0.831627                1.73635e-14         2.19165e-15
