# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:53:56 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6687 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'LP 944-20'          /                                                
# SPTYPE  = 'M9 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Jan 24'        / UT date of SXD observations                    
# LXDUT   = '2002 Jan 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.812975 / Minimum wavelength (um)                        
# MAXWAVE =              4.12608 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        10.7250000000 / 2MASS J magnitude                              
# JERR    =      0.0210000000000 / 2MASS J magnitude error                        
# H       =        10.0170000000 / 2MASS H magnitude                              
# HERR    =      0.0210000000000 / 2MASS H magnitude error                        
# KS      =        9.54800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0124752000000 / Relative error in the absolute flux calibration
# RV      =        19.5782140000 / Measured radial velocity (km s-1)              
# (B-V)_0 =        2.32000000000 / Intrinsic Color                                
# E(B-V)  = 'NAN     '           / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) *AND* Cushing et al.    
# COMMENT (2005, ApJ, 648, 1115) if you use this spectrum.  The spectrum has      
# COMMENT been absolutely flux calibrated using 2MASS photometry and has been     
# COMMENT shifted to zero radial velocity.  For other pertinent information,      
# COMMENT please see Cushing et al. (2005, ApJ, 648, 1115) and/or Rayner et       
# COMMENT al. (ApJS, 185, 289).                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812975                5.26136e-14         8.02322e-15
             0.813208                3.68770e-14         3.37607e-15
             0.813441                5.09009e-14         2.47245e-15
             0.813674                5.57845e-14         9.18289e-15
             0.813907                4.12764e-14         7.40567e-15
             0.814140                4.76813e-14         1.96189e-15
             0.814373                4.14454e-14         3.97682e-15
             0.814606                2.95247e-14         4.04480e-15
             0.814839                5.23910e-14         4.45771e-15
             0.815072                5.35783e-14         6.77013e-15
             0.815305                4.65579e-14         9.23615e-16
             0.815538                5.61687e-14         8.99718e-15
             0.815771                6.48644e-14         7.93477e-15
             0.816004                5.19659e-14         8.53217e-15
             0.816237                7.68390e-14         4.49686e-15
             0.816470                6.91148e-14         1.91893e-15
             0.816703                4.53030e-14         3.45615e-15
             0.816935                5.80094e-14         3.09749e-15
             0.817168                6.19067e-14         6.36669e-15
             0.817401                6.27836e-14         1.00107e-14
             0.817634                6.15781e-14         4.87788e-15
             0.817867                6.26044e-14         7.28947e-15
             0.818100                5.97894e-14         3.34091e-15
             0.818333                5.95080e-14         6.38062e-15
             0.818566                5.04756e-14         6.68024e-15
             0.818799                5.76308e-14         6.52470e-15
             0.819031                5.13076e-14         4.49584e-15
             0.819264                4.84707e-14         4.02380e-15
             0.819497                4.05760e-14         6.10597e-15
             0.819730                3.90593e-14         6.32283e-15
             0.819963                3.42224e-14         4.44059e-15
             0.820196                3.78645e-14         5.61336e-15
             0.820429                4.76902e-14         4.60684e-15
             0.820661                5.04162e-14         3.62525e-15
             0.820894                4.72090e-14         1.36062e-15
             0.821127                4.59652e-14         5.63037e-15
             0.821360                4.45083e-14         2.59403e-15
             0.821593                4.62816e-14         4.47968e-15
             0.821825                4.48650e-14         6.61250e-15
             0.822058                4.75529e-14         1.41281e-15
             0.822291                4.39377e-14         6.59435e-15
             0.822524                3.90861e-14         4.31069e-15
             0.822756                4.13752e-14         9.77407e-15
             0.822989                6.27828e-14         1.06064e-14
             0.823222                5.27736e-14         6.36284e-15
             0.823455                6.16451e-14         5.28472e-15
             0.823687                5.96997e-14         8.29204e-15
             0.823920                5.88334e-14         3.38065e-15
             0.824153                5.04197e-14         4.52292e-15
             0.824386                5.82376e-14         3.71757e-15
             0.824618                6.18590e-14         4.75780e-15
             0.824851                5.63547e-14         3.67314e-15
             0.825084                4.70757e-14         2.78901e-15
             0.825317                5.95190e-14         4.46826e-15
             0.825549                5.79587e-14         3.75510e-15
             0.825782                5.62948e-14         5.08985e-15
             0.826015                5.88542e-14         3.06093e-15
             0.826247                6.06640e-14         1.92711e-15
             0.826480                6.35685e-14         8.95227e-15
             0.826713                5.45642e-14         6.03109e-15
             0.826945                5.74717e-14         2.35186e-15
             0.827178                4.80534e-14         1.44510e-15
             0.827411                5.68016e-14         1.01072e-14
             0.827643                6.03990e-14         6.22418e-15
             0.827876                6.16218e-14         1.98104e-15
             0.828109                5.14007e-14         6.35495e-15
             0.828341                5.32558e-14         7.60262e-15
             0.828574                5.63627e-14         2.80306e-15
             0.828806                4.59544e-14         4.51073e-15
